"Month","Total_Premiums","Total_Recoveries","Total_FinReIncome","Total_FinReRepayment","Total_RiskReinsuranceRecoveries","Total_RiskReinsurancePremiums"
1,0,17595.5560274697,0,264687.412491041,-9579770.65833594,0
2,0,25531.8611026094,0,356548.951608377,-4653677.24622863,0
3,0,35331.6702260177,0,437778.496596979,-5292028.71011643,0
4,0,43156.9927458045,0,533070.446065828,-5332697.74641543,0
5,0,50708.0983056761,0,610903.23571211,-4839335.18537358,0
6,0,57773.4065883469,0,631451.223793333,-4637185.62143764,0
7,0,62659.2201794858,0,600156.519732954,-3312300.52222006,0
8,0,67199.8988152017,0,687332.088494839,-3679965.2507862,0
9,0,75427.1676423547,0,791256.306980244,-5527391.08807769,0
10,0,83352.7148414824,0,764083.161720492,-3068493.40174269,0
11,0,90353.5901268134,0,745057.185865678,-2521625.17266142,0
12,0,88141.9282030112,0,651994.926242754,88141.9282030112,0
13,0,87550.4287183931,0,568687.514094383,-1322034.42805677,0
14,0,86497.8713804797,0,519751.809796456,-603577.769801219,0
15,0,85903.280602252,0,482031.800756732,-685013.514223913,0
16,0,85135.599898322,0,476677.262266039,-710626.073966553,0
17,0,84223.1328313352,0,458745.929683573,-632876.294631838,0
18,0,83691.0338410592,0,434346.226523411,-606271.481799996,0
19,0,82784.6819900289,0,418063.498556302,-404614.481566439,0
20,0,81702.8297177157,0,397426.553055367,-454700.870166481,0
21,0,81007.8574347599,0,385070.695885846,-728640.873412018,0
22,0,80199.5445923553,0,365537.764378005,-381253.816947287,0
23,0,79352.7702741217,0,340312.673279679,-306656.856194182,0
24,0,78037.2758997984,0,318289.32027124,78037.2758997984,0
25,0,77993.9073845855,0,412390.16954489,77993.9073845855,0
26,0,77327.0563199348,0,449392.088544778,77327.0563199348,0
27,0,77039.2095185678,0,496557.897267362,77039.2095185678,0
28,0,76586.7366284934,0,542376.193934184,76586.7366284934,0
29,0,75976.4561412713,0,582434.500732362,75976.4561412713,0
30,0,75726.5811955966,0,623700.011448275,75726.5811955966,0
31,0,75033.5457825241,0,652191.749637268,75033.5457825241,0
32,0,74124.4799546591,0,680472.626379926,74124.4799546591,0
33,0,73639.2505375092,0,731104.1406657,73639.2505375092,0
34,0,72957.1499003488,0,754587.397583134,72957.1499003488,0
35,0,72177.7859515477,0,771886.319794662,72177.7859515477,0
36,0,70949.5659381886,0,761599.595050099,70949.5659381886,0
37,0,71014.8750572555,0,768003.280939885,71014.8750572555,0
38,0,70484.2155740647,0,766187.345892065,70484.2155740647,0
39,0,70401.8557231127,0,765467.08971487,70401.8557231127,0
40,0,70135.5183235293,0,765183.189179016,70135.5183235293,0
41,0,69744.837853032,0,764580.78374968,69744.837853032,0
42,0,69766.0311776059,0,763611.873391059,69766.0311776059,0
43,0,69330.2499024989,0,759700.118811002,69330.2499024989,0
44,0,68658.3493557719,0,757094.22400543,68658.3493557719,0
45,0,68415.1562255057,0,757410.952322907,68415.1562255057,0
46,0,67967.9632556097,0,754989.487078819,67967.9632556097,0
47,0,67448.4830824893,0,750991.970568363,67448.4830824893,0
48,0,66502.6534117668,0,742382.012827276,66502.6534117668,0
49,0,66825.4953732355,0,747750.247184153,66825.4953732355,0
50,0,66530.9649555791,0,745903.997015721,66530.9649555791,0
51,0,66694.4263531472,0,744686.169094493,66694.4263531472,0
52,0,66656.2948586858,0,743974.281512473,66656.2948586858,0
53,0,66346.5708461642,0,742411.675874905,66346.5708461642,0
54,0,66505.9932442639,0,740763.803342954,66505.9932442639,0
55,0,66165.3901787523,0,736540.863934962,66165.3901787523,0
56,0,65619.2497631497,0,733225.338530854,65619.2497631497,0
57,0,65502.9480999699,0,732236.183013419,65502.9480999699,0
58,0,65134.9444688519,0,728410.095274801,65134.9444688519,0
59,0,64677.148346619,0,723880.921845643,64677.148346619,0
60,0,63800.9893501556,0,715549.854878988,63800.9893501556,0
61,0,64019.9952944164,0,720614.524997919,64019.9952944164,0
62,0,63808.2800476131,0,718807.848344669,63808.2800476131,0
63,0,64055.7216308761,0,717556.385111046,64055.7216308761,0
64,0,64119.2524361173,0,716845.191214238,64119.2524361173,0
65,0,63872.9418503613,0,715155.144908924,63872.9418503613,0
66,0,61663.7124594949,0,712133.317787164,61663.7124594949,0
67,0,61372.8555415048,0,708018.035661336,61372.8555415048,0
68,0,60921.0048658218,0,704818.233194847,60921.0048658218,0
69,0,60913.4471078683,0,703964.493295991,60913.4471078683,0
70,0,60615.437332901,0,700141.432286804,60615.437332901,0
71,0,60235.6487511102,0,695833.300621561,60235.6487511102,0
72,0,59437.6210329354,0,687793.242826588,59437.6210329354,0
73,0,59603.2047589433,0,691403.893403502,59603.2047589433,0
74,0,59030.2851161027,0,688930.382335162,59030.2851161027,0
75,0,59421.3917086038,0,687780.477981997,59421.3917086038,0
76,0,59587.58626035,0,687042.968451074,59587.58626035,0
77,0,59421.3298641614,0,685455.549186897,59421.3298641614,0
78,0,59295.7161561573,0,683840.713143181,59295.7161561573,0
79,0,59112.2039602709,0,680019.628185902,59112.2039602709,0
80,0,58712.1842060003,0,676786.967824071,58712.1842060003,0
81,0,58722.3110527179,0,675804.917042832,58722.3110527179,0
82,0,56888.917450399,0,671221.860507763,56888.917450399,0
83,0,56589.0590727557,0,667022.865678322,56589.0590727557,0
84,0,55857.4426700519,0,659287.391428484,55857.4426700519,0
85,0,56367.4367880692,0,664057.139931095,56367.4367880692,0
86,0,56267.516073589,0,662225.3896069,56267.516073589,0
87,0,56658.6016788147,0,660406.68341102,56658.6016788147,0
88,0,56839.7689202439,0,659740.479017464,56839.7689202439,0
89,0,56618.541332464,0,657833.362078263,56618.541332464,0
90,0,56182.6218424112,0,655957.150607281,56182.6218424112,0
91,0,55654.9747675453,0,650422.103696403,55654.9747675453,0
92,0,55308.6451802032,0,646970.090742654,55308.6451802032,0
93,0,55406.694617961,0,646275.847508743,55406.694617961,0
94,0,55082.8014080979,0,642708.503751522,55082.8014080979,0
95,0,54816.8256039529,0,638033.290400014,54816.8256039529,0
96,0,54117.2032692692,0,630606.566535426,54117.2032692692,0
97,0,54429.6349993284,0,634799.906583032,54429.6349993284,0
98,0,54384.0047286058,0,633031.73864614,54384.0047286058,0
99,0,54381.454068051,0,631298.525514895,54381.454068051,0
100,0,54634.2045380268,0,630604.16725265,54634.2045380268,0
101,0,54537.9592626522,0,629055.289318496,54537.9592626522,0
102,0,54483.2028953641,0,627432.062185501,54483.2028953641,0
103,0,54344.8004278615,0,623890.653813585,54344.8004278615,0
104,0,54041.3236125242,0,621004.657458629,54041.3236125242,0
105,0,54183.5770649759,0,620431.822490662,54183.5770649759,0
106,0,53648.8113136282,0,616182.1361187,53648.8113136282,0
107,0,53426.147940382,0,612258.433807646,53426.147940382,0
108,0,52750.3045842134,0,605098.642804706,52750.3045842134,0
109,0,53202.2080586799,0,609287.534663696,53202.2080586799,0
110,0,53208.6000919639,0,607429.922342693,53208.6000919639,0
111,0,53704.1132977773,0,606130.965774181,53704.1132977773,0
112,0,54043.3705443443,0,605375.129115126,54043.3705443443,0
113,0,52988.8332104655,0,603419.633156531,52988.8332104655,0
114,0,52180.6894025443,0,601186.902790666,52180.6894025443,0
115,0,51739.1519984757,0,597149.875223516,51739.1519984757,0
116,0,51497.1854484305,0,594318.406575366,51497.1854484305,0
117,0,51714.2286149512,0,593877.702146709,51714.2286149512,0
118,0,51428.6277416227,0,590440.045527321,51428.6277416227,0
119,0,51254.6203953802,0,586613.881182637,51254.6203953802,0
120,0,50613.2609250071,0,579724.847711961,50613.2609250071,0
121,0,51268.7747264283,0,583268.364655134,51268.7747264283,0
122,0,51271.7087500781,0,581543.891013496,51271.7087500781,0
123,0,51224.8230302885,0,578470.42276199,51224.8230302885,0
124,0,51351.9404723616,0,577234.749071591,51351.9404723616,0
125,0,51225.8676981052,0,575588.103346727,51225.8676981052,0
126,0,50723.2650115748,0,572535.427968823,50723.2650115748,0
127,0,50647.4217726881,0,569288.150592637,50647.4217726881,0
