Time,PREM_INC,DEATH_OUTGO,DISAB_OUTGO,INIT_EXP,REN_EXP,INIT_COMM_V,REN_COMM_V,PHIBEN_OUTGO,PHIBEN_OUTGO_BLL,CR_BEN_OUTGO,RETR_OUTGO,DTH_OUTGO,DREADDIS_OUTGO,TEMPDIS_OUTGO,RIDERC_OUTGO,RISK_ADJ,COVERAGE_UNITS,Year,INIT_COMM,REN_COMM
2023-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,3750009448.8,2023,,
2023-07-30,5145510.4262053,385090.259280329,42404.7420871393,0.0,173659.357322604,0.0,0.0,398855.431725101,0,266.597678103369,5910.49216323018,0,0.0,0.0,0,-2769.22650953712,3732096129.47428,2023,,
2023-08-29,5124674.61626172,392051.767746845,42282.7556307039,0.0,172730.622270856,0.0,0.0,711463.791598944,0,265.162945951453,5785.52258087097,0,0.0,0.0,0,-5098.53269626312,3715254888.94892,2023,,
2023-09-28,5087478.18383454,391839.303053266,42145.7990949102,0.0,171811.331081262,0.0,0.0,826826.74163798,0,264.94932048435,5640.26868223185,0,0.0,0.0,0,-5934.09137932953,3692895546.21423,2023,,
2023-10-28,5073575.74079583,392366.431543034,42354.0836062667,0.0,171039.093562334,0.0,0.0,898302.383362341,0,262.477404260801,5533.80418502747,0,0.0,0.0,0,-6473.22200311502,3676920985.22768,2023,,
2023-11-27,5078479.52733432,394745.935849592,42396.3886582602,0.0,170352.017014944,0.0,0.0,950017.949498727,0,260.519023639227,5426.50976558289,0,0.0,0.0,0,-6843.33878410046,3667775568.40721,2023,,
2023-12-27,5090014.95921663,398677.849456447,43102.5787115473,0.0,169463.585622967,0.0,0.0,992124.039457723,0,259.647862732021,5393.51780558285,0,0.0,0.0,0,-7095.89626437861,3660260122.20727,2023,,
2024-01-26,5089842.2544375,401775.914005967,43585.9893456189,0.0,168850.743581643,0.0,0.0,1028380.47219069,0,261.222032850527,5243.9022724027,0,0.0,0.0,0,-7336.51280710864,3652229406.47966,2023,,
2024-02-25,5055646.92802952,401876.136484285,43481.5892156884,0.0,167928.962240455,0.0,0.0,1056393.27573,0,261.324286435275,5125.34094708807,0,0.0,0.0,0,-7528.09288195489,3628090801.21118,2023,,
2024-03-26,5032308.2128771,402084.594350977,43515.8534654183,0.0,167172.61527902,0.0,0.0,1079164.44236276,0,258.921100872364,4983.01794192375,0,0.0,0.0,0,-7645.30865803959,3610720017.90901,2023,,
2024-04-25,5027346.46867504,402687.488658917,44465.823221674,0.0,166579.188041651,0.0,0.0,1106093.88022587,0,256.683364061883,4892.64343327621,0,0.0,0.0,0,-7811.19816340199,3598177947.37243,2023,,
2024-05-25,5010505.30499872,401759.183558126,44516.9629788326,0.0,165801.750698863,0.0,0.0,1128429.85368261,0,254.326139300156,4756.63051284963,0,0.0,0.0,0,-7919.9492882013,3579850740.24841,2023,,
2024-06-24,4986839.07622905,399732.059472058,44296.231798058,0.0,164816.016498605,0.0,0.0,1148336.41139373,0,251.990875873794,4624.41499803433,0,0.0,0.0,0,-8061.50362540107,3558414038.93549,2023,,
2024-07-24,4972731.88066993,398665.669197014,44133.2097925515,0.0,164052.541035157,0.0,0.0,1168472.72317239,0,249.677365124796,4526.79893983246,0,0.0,0.0,0,-8108.64177077626,3540436861.49312,2023,,
2024-08-23,4956368.07546374,405959.630754955,44026.2180709531,0.0,163051.35928385,0.0,0.0,1182030.48918222,0,248.387636955023,4415.29124625964,0,0.0,0.0,0,-8195.5488762502,3520861066.18073,2023,,
2024-09-22,4942360.31199271,405670.21585754,43902.2598803739,0.0,162392.723447345,0.0,0.0,1201022.4532505,0,248.24107793235,4304.37448622946,0,0.0,0.0,0,-8304.5732402651,3504104810.64287,2023,,
2024-10-22,4926487.53076527,405365.176691359,44127.1550101484,0.0,161580.842915592,0.0,0.0,1213673.98184376,0,245.975443891323,4222.99432212328,0,0.0,0.0,0,-8405.92191720176,3486382540.89439,2023,,
2024-11-21,4931512.12182803,407739.931341019,44182.3942543392,0.0,160811.680753152,0.0,0.0,1231804.86736986,0,244.191760674233,4142.501334511,0,0.0,0.0,0,-8519.99638496195,3477591856.11563,2023,,
2024-12-21,4943123.34621584,412243.911740824,44963.6495525977,0.0,160008.17944711,0.0,0.0,1248247.77153859,0,243.428406917648,4116.48457791869,0,0.0,0.0,0,-8631.12694241597,3470250409.51927,2023,,
2025-01-20,4942178.47445178,415414.820885705,45528.2663622441,0.0,159359.733517976,0.0,0.0,1266297.18722626,0,244.987149024195,4001.1445252302,0,0.0,0.0,0,-8732.17756111168,3462217473.73201,2023,,
2025-02-19,4919502.36605491,415648.648085031,45395.1499768179,0.0,158663.491738324,0.0,0.0,1281465.21474041,0,245.134663885133,3909.96784075311,0,0.0,0.0,0,-8815.9231359784,3441894437.03444,2023,,
2025-03-21,4893155.07182897,415876.976003459,45446.9779019682,0.0,157560.893477906,0.0,0.0,1290029.96222179,0,242.932005922969,3800.28401094114,0,0.0,0.0,0,-8880.05275806048,3423125838.53154,2023,,
2025-04-20,4871967.37213254,416512.069237555,43093.4645702674,0.0,156624.873535719,0.0,0.0,1297475.30472812,0,240.883901017579,3728.24336506912,0,0.0,0.0,0,-8955.66006405307,3405393678.35569,2023,,
2025-05-20,4858279.81663391,415538.770806494,43209.6043849662,0.0,155951.501532884,0.0,0.0,1310642.49109513,0,238.722540184913,3623.58503294902,0,0.0,0.0,0,-9018.05427167265,3388436327.85616,2023,,
2025-06-19,4835202.17846935,413412.148235866,43027.5588335956,0.0,155194.223706769,0.0,0.0,1318666.16994135,0,236.58085455702,3521.87614512481,0,0.0,0.0,0,-9083.59275346031,3366594229.56281,2023,,
2025-07-19,4816775.76483317,412297.899216135,42939.2390328589,0.0,154388.265998821,0.0,0.0,1324943.20340448,0,234.458661457903,3447.18253906948,0,0.0,0.0,0,-9052.00330348434,3347618706.49305,2023,,
2025-08-18,4804150.75651603,420180.005638215,42861.5340913553,0.0,153460.094166042,0.0,0.0,1326142.706783,0,233.300400935857,3360.65145320999,0,0.0,0.0,0,-8970.24566939757,3329763211.1084,2023,,
2025-09-17,4783185.23761928,417746.039853048,42782.7546882051,0.0,152701.035804714,0.0,0.0,1333475.34512486,0,233.214749237795,3276.15791102733,0,0.0,0.0,0,-8965.39058815737,3311779331.70434,2023,,
2025-10-17,4766645.87522523,418350.615542112,43036.8738080147,0.0,151899.637632336,0.0,0.0,1336571.5853836,0,231.136028651026,3213.75665014171,0,0.0,0.0,0,-8902.60994110746,3292733857.44124,2023,,
2025-11-16,4762077.70616165,420641.660655572,43148.285966929,0.0,150915.85750695,0.0,0.0,1340074.64940778,0,229.510708322269,3153.3885989038,0,0.0,0.0,0,-8905.83941804907,3281860055.3926,2023,,
2025-12-16,4759689.85155082,425280.258379643,42607.5967009112,0.0,149721.635819097,0.0,0.0,1342965.29713948,0,228.845234744117,3132.23670126502,0,0.0,0.0,0,-8863.21688534412,3270925779.08779,2023,,
2026-01-15,4759337.64552745,427850.338014988,43300.8884931753,0.0,149084.662764793,0.0,0.0,1353312.08529472,0,230.392360186936,3043.56220617796,0,0.0,0.0,0,-8843.79575025636,3263085630.62421,2023,,
2026-02-14,4728957.74377802,428113.256394493,43268.9294954219,0.0,148323.70269731,0.0,0.0,1359513.89686076,0,230.581163410592,2973.39515917512,0,0.0,0.0,0,-8824.96622322028,3239279672.75573,2023,,
2026-03-16,4715753.64737983,428341.920897802,43419.2450996837,0.0,147624.300492477,0.0,0.0,1367353.04604069,0,228.560354645557,2889.10727858118,0,0.0,0.0,0,-8807.65574707489,3225996799.6897,2023,,
2026-04-15,4701589.88645235,428770.503560919,42645.9420810503,0.0,146893.373854962,0.0,0.0,1374247.51220866,0,226.684254564204,2846.79255222149,0,0.0,0.0,0,-8729.00936327059,3211711839.18162,2023,,
2026-05-15,4688936.22043168,427679.651333517,42805.9361843404,0.0,146218.786526247,0.0,0.0,1382063.50352858,0,224.700540138445,2765.70610269065,0,0.0,0.0,0,-8717.08392034254,3196176271.38446,2023,,
2026-06-14,4673971.12636166,425497.103225701,42651.04880508,0.0,145616.718996536,0.0,0.0,1390753.42144095,0,222.734439581559,2686.9386832994,0,0.0,0.0,0,-8700.8961133419,3178947673.33551,2023,,
2026-07-14,4653992.16057634,424229.376903711,42610.5138062078,0.0,144787.406099232,0.0,0.0,1395090.18074572,0,220.785793346373,2629.08191557847,0,0.0,0.0,0,-8677.54026335753,3159790481.47161,2023,,
