Time,PREM_INC,DEATH_OUTGO,DISAB_OUTGO,INIT_EXP,REN_EXP,INIT_COMM,REN_COMM,PHIBEN_OUTGO,PHIBEN_OUTGO_BLL,CR_BEN_OUTGO,RETR_OUTGO,DTH_OUTGO,DREADDIS_OUTGO,TEMPDIS_OUTGO,RIDERC_OUTGO,RISK_ADJ,COVERAGE_UNITS,Year
2035-02-28,264387.200488421,85843.4265942339,5579.30751036722,0,8140.62278845735,6762.79108237167,2698.27205719523,47145.3915759576,0,8.12558811783764,0,0,0,0,0,19129.4968119207,318013098.842692,2022
2035-03-31,264797.983958512,85969.7829888398,5594.57960089333,0,8114.18336467582,20726.2988863052,2707.22897819278,47346.4227692605,0,8.04616365284224,0,0,0,0,0,17331.3266352262,316687447.198771,2022
2035-04-30,264386.688040381,85899.3182620128,5616.60991188909,0,8087.78865614675,14379.6239073159,2704.25817903061,47547.1475465253,0,8.23254978149337,0,0,0,0,0,18282.1864875218,315435635.921572,2022
2035-05-31,263235.74376777,85663.7336182527,5602.06873044812,0,8061.46615603155,3973.68653076971,2683.26587709403,47701.344349185,0,8.15263712815436,0,0,0,0,0,19476.4505614221,313356977.962158,2022
2035-06-30,262292.687634747,85428.7064498808,5621.87134307528,0,8035.2201760132,7997.55875655538,2662.44225786989,47845.1596613164,0,8.07354828632811,0,0,0,0,0,18714.94935587,311520379.14629,2022
2035-07-31,262373.355326124,85622.9401539112,5653.74213008674,0,8009.04875282266,17490.2132415761,2656.49935659488,48009.1334057698,0,7.99527423799057,0,0,0,0,0,18127.853561077,310219228.323821,2022
2035-08-31,262185.323879966,85993.1457858136,5663.81040917752,0,7982.93613795367,9197.04377942366,2647.64153617595,48178.5755634423,0,7.9178060692392,0,0,0,0,0,19145.5925730357,308744974.840336,2022
2035-09-30,263289.780284815,86400.7077363581,5678.12310973167,0,7947.93661026926,23504.5647478207,2638.18001166525,48434.5512163621,0,7.8411349690385,0,0,0,0,0,17562.6551976374,307990808.730432,2022
2035-10-31,263096.785448175,86181.9568061738,5748.13009500616,0,7921.94726409362,17938.4195756979,2634.748637038,48680.26490613,0,7.76525222798102,0,0,0,0,0,18370.7198654253,306503628.369235,2022
2035-11-30,264023.34379139,86653.5774163603,5841.55997439261,0,7896.02764151067,25514.6801893636,2639.58748033199,48983.6294952113,0,7.69014923706391,0,0,0,0,0,17761.8533083684,305854489.450688,2022
