"Month","Total_Premiums","Total_Recoveries","Total_FinReIncome","Total_FinReRepayment","Total_RiskReinsuranceRecoveries","Total_RiskReinsurancePremiums"
1,0,12978.7684216227,0,427109.412400723,-7578003.69911184,0
2,0,22936.6742067851,0,493784.245748597,-6269087.9800084,0
3,0,33082.1687830794,0,586581.493055867,-6442383.43500103,0
4,0,43491.6338238007,0,710215.981665241,-6724562.86683799,0
5,0,54197.5988801355,0,800778.051542173,-6962488.89790134,0
6,0,66325.6277813534,0,928194.316194881,-7864257.35379973,0
7,0,76033.8809651475,0,948751.086321244,-6486417.00053431,0
8,0,82314.692377862,0,892653.247014982,-4481513.18141601,0
9,0,90131.9794050979,0,972006.967248301,-5421869.1252284,0
10,0,101350.019089539,0,1139185.06227986,-7541632.1878242,0
11,0,110739.757137933,0,1159783.60576355,-6516857.24131342,0
12,0,120459.201252639,0,1230913.33995163,-6768446.60044356,0
13,0,119998.057450858,0,924251.874796656,-1005172.98523695,0
14,0,119428.350061221,0,861138.915013065,-814163.29750707,0
15,0,118904.884319694,0,829728.560322786,-841905.021050868,0
16,0,118497.575318731,0,784633.526085567,-885721.236076591,0
17,0,118130.899573645,0,760551.419578389,-922976.712704836,0
18,0,117880.080982993,0,747657.971685453,-1058738.87611107,0
19,0,117414.514663195,0,724482.132278748,-856239.126128677,0
20,0,116651.051571434,0,700069.939095361,-560606.461413553,0
21,0,116020.979029629,0,677691.528074937,-701891.662261284,0
22,0,115709.949813197,0,658476.807528245,-1018342.8339601,0
23,0,115245.679654949,0,635618.871769208,-868199.722369829,0
24,0,114803.86208439,0,617183.149617149,-907412.494539552,0
25,0,114547.693054695,0,654567.855745642,114547.693054695,0
26,0,114060.809861463,0,677404.310570758,114060.809861463,0
27,0,113621.453015529,0,704222.253075808,113621.453015529,0
28,0,113245.834407668,0,735974.642646456,113245.834407668,0
29,0,112926.868629457,0,772272.863648194,112926.868629457,0
30,0,112768.068765137,0,818862.195513596,112768.068765137,0
31,0,112420.433103382,0,855615.448734125,112420.433103382,0
32,0,111783.286502428,0,876791.094868359,111783.286502428,0
33,0,111307.388288452,0,907953.7213671,111307.388288452,0
34,0,111171.174568127,0,959947.44831498,111171.174568127,0
35,0,110896.846337974,0,1005050.9922588,110896.846337974,0
36,0,110678.283557637,0,1054348.87229477,110678.283557637,0
37,0,110665.966771418,0,1054992.81445893,110665.966771418,0
38,0,110421.006294641,0,1053965.15879128,110421.006294641,0
39,0,110225.886376426,0,1053432.13386106,110225.886376426,0
40,0,110097.336673661,0,1053567.84595272,110097.336673661,0
41,0,110028.394828917,0,1054299.50779589,110028.394828917,0
42,0,110125.04157715,0,1056696.46075106,110125.04157715,0
43,0,110031.645624062,0,1057074.0535544,110031.645624062,0
44,0,109643.864268851,0,1054402.59128114,109643.864268851,0
45,0,109420.078198692,0,1053421.14418909,109420.078198692,0
46,0,109543.590788057,0,1056050.96302857,109543.590788057,0
47,0,109528.458445279,0,1057218.02924133,109528.458445279,0
48,0,109571.641851547,0,1058973.94994205,109571.641851547,0
49,0,109864.487018699,0,1059606.12512954,109864.487018699,0
50,0,109884.222037023,0,1058534.09632159,109884.222037023,0
51,0,109933.352002506,0,1057712.71732971,109933.352002506,0
52,0,110029.448729624,0,1057281.05042388,110029.448729624,0
53,0,110164.849228336,0,1057178.00765768,110164.849228336,0
54,0,110450.864757943,0,1058253.6011239,110450.864757943,0
55,0,110511.16891374,0,1057545.85908412,110511.16891374,0
56,0,110240.381587605,0,1054268.48246921,110240.381587605,0
57,0,110126.990947299,0,1052252.87484787,110126.990947299,0
58,0,110361.511996562,0,1053022.47124202,110361.511996562,0
59,0,110427.00329258,0,1052472.1576908,110427.00329258,0
60,0,110534.096596382,0,1052268.03325072,110534.096596382,0
61,0,110722.576865437,0,1053026.60839829,110722.576865437,0
62,0,110658.700968631,0,1052095.40468311,110658.700968631,0
63,0,110622.87915096,0,1051415.40425398,110622.87915096,0
64,0,110631.392556533,0,1051126.50426553,110631.392556533,0
65,0,110677.130158775,0,1051167.17478185,110677.130158775,0
66,0,110863.268056842,0,1052393.3140252,110863.268056842,0
67,0,110840.950752405,0,1051821.66793935,110840.950752405,0
68,0,110512.486376897,0,1048660.61446832,110512.486376897,0
69,0,110330.688461247,0,1046768.94852347,110330.688461247,0
70,0,110472.153120068,0,1047681.3314749,110472.153120068,0
71,0,110457.676688181,0,1047262.90282776,110457.676688181,0
72,0,110482.50467917,0,1047191.80349027,110482.50467917,0
73,0,110804.017908364,0,1047712.91629561,110804.017908364,0
74,0,110843.73916179,0,1046728.0444322,110843.73916179,0
75,0,110913.456493687,0,1045990.54016637,110913.456493687,0
76,0,111031.279121838,0,1045638.24322087,111031.279121838,0
77,0,111189.308276993,0,1045610.57107398,111189.308276993,0
78,0,111502.254135552,0,1046749.25048879,111502.254135552,0
79,0,111582.280625632,0,1046116.82786113,111582.280625632,0
80,0,111320.826277354,0,1042935.74017255,111320.826277354,0
81,0,111221.349390329,0,1041005.14237977,111221.349390329,0
82,0,111480.164943887,0,1041836.89509547,111480.164943887,0
83,0,111564.498564391,0,1041358.08166115,111564.498564391,0
