"Time","PREM_INC","DEATH_OUTGO","DISAB_OUTGO","INIT_EXP","REN_EXP","INIT_COMM","REN_COMM","PHIBEN_OUTGO","PHIBEN_OUTGO_BLL","CR_BEN_OUTGO","RETR_OUTGO","DTH_OUTGO","DREADDIS_OUTGO","TEMPDIS_OUTGO","RIDERC_OUTGO","RISK_ADJ","COVERAGE_UNITS"
"m0",0,0,0,14005.8297711667,0,0,0,0,0,0,0,0,0,0,0,30372.1926498333,568216795.68
"m1",289229.646772567,61456.2178833915,4787.47657115944,0,30355.2632942644,89598.436659501,3217.37970293609,13997.9012763157,0,59.2432382481843,4113.17531373114,0,0,0,0,-145.05175143671,564190833.960601
"m2",288341.46928483,61424.9593871675,4761.40720270708,0,30133.2979642528,83857.7978952137,3200.83143795583,22670.1273726673,0,59.1048455926404,3967.67796671193,0,0,0,0,-134.956810047673,559727750.144957
"m3",286960.576059727,61396.3939279458,4737.61244512297,0,29926.9069135563,55767.4140922748,3223.24441364349,25319.5924928526,0,58.4070452281748,3866.45965730639,0,0,0,0,-126.113971895314,555085273.052966
"m4",286677.709441089,61450.3191997437,4756.7392889887,0,29731.0615712271,117485.588240766,3195.69699062054,26653.3572476649,0,58.096957439909,3737.44234652967,0,0,0,0,-117.53745609492,552275050.226848
"m5",286549.957616212,61568.6792466376,4809.24262748706,0,29530.1733026451,113845.788020783,3186.05425195398,27491.2073979577,0,57.3764678083763,3634.94633697435,0,0,0,0,-109.772498137878,548866779.703858
"m6",284860.548751706,61353.2748322153,4779.49496510706,0,29334.447598018,60616.0826214566,3155.49332723563,28089.6036777402,0,57.4219250978217,3518.67155628311,0,0,0,0,-102.383476375782,543895201.565957
"m7",282948.647481918,61085.5863120119,4740.620421358,0,29139.9699584417,29628.5312518895,3155.56105761045,28548.3968831251,0,56.6946660792273,3405.61936481823,0,0,0,0,-95.5969130058708,538982019.013359
"m8",281298.996048436,60697.7357125013,4730.66627967036,0,28938.7255788671,52503.4691009194,3123.14360800242,28954.491834404,0,55.9767435809676,3292.38022337221,0,0,0,0,-89.4607347398865,534116989.621439
"m9",279660.011990261,60405.3866156837,4699.94822325661,0,28743.174882913,57576.7403953153,3097.35462437416,29355.4675125452,0,55.2680363291405,3182.48119628116,0,0,0,0,-83.3687769518524,529244703.39461
"m10",280097.771434755,60508.860107925,4732.5043781157,0,28532.6886484948,137621.529112551,3105.80199904737,29824.9484312076,0,54.568424640749,3084.63807155919,0,0,0,0,-32.8404223436948,526002472.006878
"m11",278280.836409695,60437.0858320654,4732.58180578892,0,28325.3431086905,46972.8961428201,3073.69911536172,30126.4313988832,0,53.8777904026597,3006.5784772749,0,0,0,0,-79.3532603467675,520977265.051635
"m12",275442.818399899,59862.9435252107,4685.59715091934,0,28118.0468432134,14869.6151977659,3041.94709382148,30299.0556617095,0,53.1960170508418,2906.64258873689,0,0,0,0,-73.8818153248979,515584682.31914
"m13",275141.409728206,59868.9136096192,4651.83514903413,0,27909.7652073772,25913.0983273221,3068.69665431002,30639.4115845983,0,54.1365968452508,2833.83019974925,0,0,0,0,-68.7639972264357,512012825.263093
"m14",274606.493566686,60254.4315022253,4625.00315047152,0,27701.6155043003,23528.0580795662,3055.4976939409,30938.1095069923,0,53.9560639495276,2738.48586905532,0,0,0,0,-63.977401437785,507752412.275236
"m15",273273.242332087,60655.2669933496,4601.86021863355,0,27492.4040655205,15025.9280503903,3074.89476365369,31172.1113719324,0,53.2296032057151,2675.24441916081,0,0,0,0,-59.5010367023588,503031409.078888
"m16",272727.790816822,60840.6470425022,4608.72576416094,0,27279.3670456453,31491.4177706644,3043.84288042152,31387.3175723697,0,52.9072878665239,2584.18608751111,0,0,0,0,-55.2683562610291,499828483.858208
"m17",272370.145042798,61418.0487235183,4657.63018746585,0,27066.3056248812,32249.7107770774,3030.11331970696,31614.8546678771,0,52.1825188303852,2511.62106391775,0,0,0,0,-51.3473570161749,496135444.566554
"m18",270469.785010749,61531.4869023816,4621.33369262215,0,26853.2445758563,16147.1574137172,2995.30079538499,31776.4302982851,0,52.1376480587214,2434.11575211116,0,0,0,0,-47.681289510872,490959938.979964
"m19",268398.843879383,61520.1170125363,4574.78159934197,0,26640.8973490005,9640.67105371551,2988.71857489147,31881.0359640901,0,51.4057368968329,2357.78854374114,0,0,0,0,-44.2540281414076,485699709.394264
"m20",266573.224546499,61188.4114277447,4556.63446222361,0,26427.835559378,17098.6051850869,2954.01806232474,31975.761652864,0,50.6841884962058,2278.68967690481,0,0,0,0,-41.0504603061328,480688147.838608
"m21",264709.7410723,60896.2505639299,4525.02931061897,0,26216.1580526561,17195.9874703139,2926.61990363622,32107.1505463664,0,49.9728550015348,2202.34356505898,0,0,0,0,-38.0564227836158,475675681.792017
"m22",264991.192975856,61386.5865317295,4550.03748285577,0,26004.3713031688,42740.4316885176,2933.66167751873,32307.46292488,0,49.2715906815747,2132.77345085444,0,0,0,0,-19.0765220217136,472387070.314383
"m23",263105.685410838,61559.144327824,4546.65099172523,0,25792.58649305,15173.6749604725,2898.28191066173,32380.5974200853,0,48.5802518984431,2082.45189035493,0,0,0,0,-37.0791004151688,467375783.590449
"m24",260253.084948202,61082.091959675,4493.15071700469,0,25582.3061234023,4935.32583220875,2863.34342820308,32358.774803222,0,47.8986970773698,2015.25413897316,0,0,0,0,-34.4949964797905,462088142.558819
"m25",259930.464963927,61187.3544841245,4456.06195356858,0,25381.3526529231,31222.374980829,2887.26225857921,32383.9791310692,0,48.690292740546,1968.81305024635,0,0,0,0,-32.0881553272453,458687799.520271
"m26",259475.57363153,61479.228027718,4424.16660957045,0,25189.0738980368,27449.8026115952,2873.85711928667,32393.6390957632,0,48.5500121793853,1904.42881220255,0,0,0,0,-29.8464307732879,454759691.701488
"m27",258316.26531395,61769.7047675623,4400.34494930554,0,25004.9485609019,17972.3113501356,2894.62314789477,32375.8894552377,0,47.9456229231129,1862.97009392802,0,0,0,0,-27.7585114791183,450581891.790145
"m28",258143.59355909,62262.7899657711,4411.16531275462,0,24834.2475443611,33256.2391978114,2867.69116081764,32365.0684233964,0,47.7065444924012,1801.44956847181,0,0,0,0,-25.7623795703229,448145888.945641
"m29",258188.589828252,63129.632346881,4459.75702063369,0,24673.7058946291,32743.708704167,2857.95668734821,32386.7959363532,0,47.1337124907822,1752.30520707757,0,0,0,0,-23.9447681196804,445516708.56881
"m30",256820.836085213,63245.6105905155,4437.34079054298,0,24519.1494831481,16992.7673413423,2828.99657847747,32380.4274680017,0,47.15529804423,1699.76191191256,0,0,0,0,-22.2517729026926,441676058.594826
"m31",255319.621971604,63225.6701869738,4402.14920953947,0,24368.7414307078,10379.0114929485,2827.37102749831,32343.6212408316,0,46.6202824537397,1648.712258195,0,0,0,0,-20.6748942918911,437805123.057961
"m32",254100.124871493,63041.9889758901,4396.21554984153,0,24224.380004548,16660.843645412,2799.27383242598,32309.2169318282,0,46.0914245028492,1595.06748193241,0,0,0,0,-19.2062137056425,434223464.527821
"m33",252926.82841527,62961.4859391792,4378.76662593839,0,24085.7080670299,17063.6571045961,2778.47985836369,32326.5736409319,0,45.5686524353802,1543.22921131189,0,0,0,0,-17.8383537339649,430735742.956375
"m34",253862.879243575,63634.4055696471,4421.4667468507,0,23956.1591747362,40610.3823239286,2792.5441676366,32444.4189134085,0,45.051895340197,1494.86772580441,0,0,0,0,-2.05186681028852,428954677.592834
"m35",252795.347265442,63769.0102316227,4438.02923694287,0,23832.3027598961,14665.2147185409,2766.76458100188,32462.9343012423,0,44.5410831411675,1463.20547456639,0,0,0,0,-18.3806330356777,425731925.597841
"m36",250805.878512847,63474.9563759347,4403.43801019577,0,23710.5383244691,5241.74278260061,2741.21280446187,32400.0605370625,0,44.036146587244,1419.98402668856,0,0,0,0,-17.2023028804289,422281488.996128
"m37",251249.49812244,63443.0812243954,4387.73902241647,0,23589.5175672928,31002.2161373552,2772.99221082871,32477.5539906341,0,44.9088512547069,1393.25966144752,0,0,0,0,-16.0998968255964,420456422.224356
"m38",251478.965799938,63606.9551145365,4371.50376610166,0,23469.1771198684,26846.0914486368,2766.40519612882,32536.2333801903,0,44.8514863776823,1351.25163548332,0,0,0,0,-15.0684540331109,418014464.56905
"m39",250912.553494157,63737.6886898584,4365.94951906369,0,23349.4703840602,17571.2762114816,2792.95107364771,32565.6387558661,0,44.3474542023327,1325.43676631054,0,0,0,0,-14.1033420959268,415205144.611248
"m40",251237.001625612,63936.0647718257,4385.28169003367,0,23230.3962340526,32896.4211895933,2770.38947969888,32601.1910618193,0,44.1846002565315,1284.17517009639,0,0,0,0,-13.1681496995858,413769087.150426
"m41",251628.880911179,64222.2677515448,4449.70564558217,0,23111.936620641,31624.8309866927,2762.75392148449,32653.9688427948,0,43.6899897570979,1251.31937583122,0,0,0,0,-12.3192783830363,411925102.006644
"m42",250590.233359266,64141.1976107376,4435.3150471946,0,22994.0894239231,16542.7556448738,2737.1225871015,32681.675641698,0,43.7327082790779,1216.62281463439,0,0,0,0,-11.5248116079287,408864137.197689
"m43",249381.086451575,64010.9606701425,4406.37264978231,0,22876.9089951848,9836.65397592223,2737.57342166825,32679.8465456253,0,43.244542722924,1182.77557122931,0,0,0,0,-10.7812226395603,405710927.553324
"m44",248382.155414123,63735.0810087078,4407.7124753461,0,22760.4047747413,16090.107678572,2712.14985569325,32701.5014560168,0,42.7619084504247,1146.04168436453,0,0,0,0,-10.0852165036357,402752873.628513
"m45",247387.66109291,63527.6545625412,4396.21158810989,0,22644.5800346422,16458.0639387028,2693.568960853,32781.1660908017,0,42.2847419672284,1110.47765114448,0,0,0,0,-9.43371458629438,399790277.659297
"m46",248378.819661496,63851.9049221786,4450.08359087244,0,22529.4191053111,38957.2070075874,2708.4437424543,32947.3792520896,0,41.8129805159222,1076.72743701901,0,0,0,0,2.15724696997068,398287420.674942
"m47",247364.578020674,63903.7678679323,4471.1005577841,0,22414.8548185499,14030.7180307462,2683.3062779857,32993.2768915851,0,41.3465620674004,1056.06324775631,0,0,0,0,-10.4406800355067,395353089.900322
