"Time","PREM_INC","DEATH_OUTGO","DISAB_OUTGO","INIT_EXP","REN_EXP","INIT_COMM","REN_COMM","PHIBEN_OUTGO","PHIBEN_OUTGO_BLL","CR_BEN_OUTGO","RETR_OUTGO","DTH_OUTGO","DREADDIS_OUTGO","TEMPDIS_OUTGO","RIDERC_OUTGO","RISK_ADJ","COVERAGE_UNITS"
"m0",0,0,0,650443.024332651,0,0,0,0,0,0,0,0,0,0,0,1873881.10580426,4045029877.9
"m1",1529512.85228171,276589.911739051,27050.7668048109,0,394248.363314424,374725.092475189,14076.7928083195,82277.4977067562,0,93.9302613956571,99628.1148556164,0,0,0,0,-22693.3750092178,4011237666.8012
"m2",1520943.92582055,276060.326166823,27012.8499475089,0,391167.903877797,453257.290310687,14007.0816823051,142471.406278551,0,92.592723205962,94770.7681881535,0,0,0,0,-21030.1705036799,3979524517.96446
"m3",1512740.73975234,275640.763388919,26948.4420800286,0,388217.664369187,426350.04597137,13997.2868717383,160433.297680878,0,91.3916843189024,90153.1123120616,0,0,0,0,-19374.8967609571,3949841315.80063
"m4",1508847.47163794,275905.968632954,26986.9309358978,0,385456.113695338,534027.716844087,13994.7199933381,169969.593744918,0,90.6572155297477,85862.0613725371,0,0,0,0,-18362.4714662525,3923782025.89618
"m5",1502906.93024248,276020.039906568,26924.6837306802,0,382773.810468449,448081.178036778,13912.8335091189,175770.93539299,0,89.568840952502,81951.9220156055,0,0,0,0,-16833.1920703514,3894322890.06282
"m6",1497391.77096477,276012.475912342,26827.7556182289,0,380129.466975299,455950.06963466,13891.953698537,180207.414148907,0,89.5800757727306,78187.9554283171,0,0,0,0,-15074.3689794688,3867437657.78488
"m7",1488530.84552086,275056.231253572,26658.4408782042,0,377426.784492914,324895.772236782,13804.9816053302,183678.982770498,0,88.4600820246899,74662.3257517528,0,0,0,0,-14655.6572895717,3835310036.43131
"m8",1477470.72748173,273769.97876785,26461.4310344935,0,374733.69838954,245441.656368695,13693.2109638686,186398.683270307,0,88.1150130762803,71293.2348091645,0,0,0,0,-14079.1693023098,3801169967.75747
"m9",1469212.12801899,273237.77724419,26287.1949697227,0,372033.684500831,372536.04250785,13608.8694419309,188874.75499292,0,86.8419096854815,68126.2560631223,0,0,0,0,-12353.5192062174,3770267256.2213
"m10",1463489.4695372,272906.333798341,26189.979717465,0,369327.512033776,490983.56725047,13531.6346386286,191422.68091809,0,85.6271570712052,65241.9260230687,0,0,0,0,-10803.869132114,3741980997.30996
"m11",1453609.84014408,271570.323932096,25996.763264027,0,366625.709457918,324438.720364941,13412.7485023202,193535.215768392,0,84.3943157206064,62489.5920085152,0,0,0,0,-10012.4374577202,3709361554.389
"m12",1443984.84474119,270435.808157706,25831.0262626411,0,363924.160376624,335140.411715569,13313.7530404347,195144.030824291,0,84.1039738178418,60012.424583575,0,0,0,0,-8230.05325377825,3679014521.98678
"m13",1437058.3908591,269887.912718821,25683.9450697487,0,361215.75848205,89164.1794955207,13291.7008726791,196867.672496553,0,83.1563226670161,57435.2124431787,0,0,0,0,-10540.631022396,3648941284.13448
