"Month","Total_Premiums","Total_Recoveries","Total_FinReIncomeCF","Total_FinReRepayment","Total_RiskReinsuranceRecoveries","Total_RiskReinsurancePremiums"
317,0,784712.803737163,0,5894932.78226927,784712.803737163,-5894932.78226927
318,0,777577.455002963,0,5883811.71584395,777577.455002963,-5883811.71584395
319,0,773549.921501649,0,5876871.33437479,773549.921501649,-5876871.33437479
320,0,766924.857428967,0,5841103.67926762,766924.857428967,-5841103.67926762
321,0,762110.830342471,0,5821552.57438026,762110.830342471,-5821552.57438026
322,0,758025.193949377,0,5810935.84102225,758025.193949377,-5810935.84102225
323,0,756342.052717421,0,5797031.51284766,756342.052717421,-5797031.51284766
324,0,753436.115342996,0,5787364.73476062,753436.115342996,-5787364.73476062
325,0,752069.540214974,0,5775917.29569684,752069.540214974,-5775917.29569684
326,0,748275.504676357,0,5760492.57866261,748275.504676357,-5760492.57866261
327,0,745569.951003907,0,5742102.06809133,745569.951003907,-5742102.06809133
328,0,744080.275389389,0,5732793.20151777,744080.275389389,-5732793.20151777
329,0,746644.141671276,0,5730268.78926662,746644.141671276,-5730268.78926662
330,0,743143.56665698,0,5723357.56182739,743143.56665698,-5723357.56182739
331,0,742814.7668117,0,5719210.95229193,742814.7668117,-5719210.95229193
332,0,737713.339355326,0,5691718.50409528,737713.339355326,-5691718.50409528
333,0,733676.288133712,0,5673231.77062221,733676.288133712,-5673231.77062221
334,0,733558.726867801,0,5667978.54437867,733558.726867801,-5667978.54437867
335,0,733406.494541476,0,5653858.43709572,733406.494541476,-5653858.43709572
336,0,730130.934045949,0,5639361.41919383,730130.934045949,-5639361.41919383
337,0,728952.792862863,0,5625016.41783069,728952.792862863,-5625016.41783069
338,0,721373.886847897,0,5608189.90603216,721373.886847897,-5608189.90603216
339,0,719983.472415756,0,5590660.03428368,719983.472415756,-5590660.03428368
340,0,717829.010699545,0,5577944.57729314,717829.010699545,-5577944.57729314
341,0,715425.203229087,0,5570296.8972494,715425.203229087,-5570296.8972494
342,0,709539.45872854,0,5562462.89372827,709539.45872854,-5562462.89372827
343,0,705693.398622488,0,5557197.33446488,705693.398622488,-5557197.33446488
344,0,702108.099786552,0,5530465.00364977,702108.099786552,-5530465.00364977
345,0,698614.236559037,0,5503760.0063193,698614.236559037,-5503760.0063193
346,0,698079.740350475,0,5494528.3702298,698079.740350475,-5494528.3702298
347,0,695050.344433419,0,5481144.33593716,695050.344433419,-5481144.33593716
348,0,693648.004024179,0,5469404.23557904,693648.004024179,-5469404.23557904
349,0,689487.81754371,0,5454279.67644899,689487.81754371,-5454279.67644899
350,0,686664.145567577,0,5438723.05600626,686664.145567577,-5438723.05600626
351,0,687996.462160923,0,5421677.23524697,687996.462160923,-5421677.23524697
352,0,685159.418756809,0,5405767.78388597,685159.418756809,-5405767.78388597
353,0,679308.938843703,0,5393674.16586768,679308.938843703,-5393674.16586768
354,0,675771.928192063,0,5384047.74751861,675771.928192063,-5384047.74751861
355,0,673118.561520238,0,5370578.21486299,673118.561520238,-5370578.21486299
356,0,670692.951822107,0,5343326.09671534,670692.951822107,-5343326.09671534
357,0,665997.502126676,0,5322874.50416778,665997.502126676,-5322874.50416778
358,0,666968.272690629,0,5315059.56745606,666968.272690629,-5315059.56745606
359,0,666142.872670281,0,5303302.85699796,666142.872670281,-5303302.85699796
360,0,661852.747722027,0,5289165.28282224,661852.747722027,-5289165.28282224
361,0,659615.067534877,0,5277188.69773392,659615.067534877,-5277188.69773392
362,0,655068.843611368,0,5262032.69464269,655068.843611368,-5262032.69464269
363,0,650498.564991635,0,5242403.09930454,650498.564991635,-5242403.09930454
364,0,649861.512712208,0,5231604.68241711,649861.512712208,-5231604.68241711
365,0,647639.248617654,0,5222316.09896206,647639.248617654,-5222316.09896206
