"Month","Total_Premiums","Total_Acq","Total_Ren","Total_Claims","Total_Commission"
1,38404875.5176766,0,3797124.22641485,9903548.39969371,3797124.22641485
2,38276387.9082562,0,3455530.94474887,9867516.40355761,3455530.94474887
3,38187452.8635817,0,3810556.93522605,9847684.78098894,3810556.93522605
4,38107006.7181685,0,3926462.1833307,9832085.62832149,3926462.1833307
5,38037455.1410892,0,4171116.82178739,9826677.33272216,4171116.82178739
6,38007212.6522764,0,4701170.7398369,9837474.82117128,4701170.7398369
7,37954576.6427821,0,4198049.1923909,9846961.05286718,4198049.1923909
8,37787904.9529962,0,2521658.94773689,9812568.24580344,2521658.94773689
9,37657552.0350252,0,3284842.35998358,9788347.20491461,3284842.35998358
10,37597050.6638012,0,4515881.07580849,9788323.21306138,4515881.07580849
11,37532539.6029363,0,4262010.91754145,9782555.16524431,4262010.91754145
12,37477793.7931727,0,4341507.93356177,9781510.255613,4341507.93356177
13,37409855.3406981,0,2619113.01653847,9771632.86829836,2619113.01653847
14,37321830.584628,0,2456501.83388169,9764529.22138882,2456501.83388169
15,37260573.5018744,0,2714277.38423156,9766465.58871627,2714277.38423156
16,37201726.2703342,0,2719298.39834311,9769441.30165769,2719298.39834311
17,37162039.4794919,0,2873335.41571239,9780687.71528175,2873335.41571239
18,37154089.1405847,0,3149760.29453863,9807231.86916285,3149760.29453863
19,37126779.6967743,0,2953680.49991435,9829551.15205897,2953680.49991435
20,36979325.9065774,0,1759700.34983643,9807113.98495835,1759700.34983643
21,36872379.9869661,0,2270527.02795904,9794741.89796232,2270527.02795904
22,36828769.8222839,0,2939296.34851607,9807743.15402742,2939296.34851607
23,36790620.6632318,0,2924218.69960544,9816107.24050448,2924218.69960544
24,36759258.4858327,0,2915907.77938376,9829736.48188987,2915907.77938376
25,36724128.3969388,0,2745565.71630914,9828382.88059828,2745565.71630914
26,36668990.4424917,0,2556712.09553812,9829347.41655094,2556712.09553812
27,36631052.5862385,0,2775234.331078,9839142.80575715,2775234.331078
28,36602652.1314906,0,2737251.39703931,9850552.66145571,2737251.39703931
29,36583619.947063,0,2867203.03558134,9868254.52590849,2867203.03558134
30,36596294.0543751,0,3102490.18847751,9900982.05422256,3102490.18847751
31,36582070.3445497,0,2897750.33360702,9927265.51202192,2897750.33360702
32,36460103.1515031,0,1731417.04474557,9909680.92137435,1731417.04474557
