"Time","PREM_INC","DEATH_OUTGO","DISAB_OUTGO","INIT_EXP","REN_EXP","INIT_COMM","REN_COMM","PHIBEN_OUTGO","PHIBEN_OUTGO_BLL","CR_BEN_OUTGO","RETR_OUTGO","DTH_OUTGO","DREADDIS_OUTGO","TEMPDIS_OUTGO","RIDERC_OUTGO","RISK_ADJ","COVERAGE_UNITS"
2025-06-30,1980266.98632519,495050.062577929,42992.490117093,0,44030.2249630654,121833.991956828,12563.8692264776,259799.258798752,0,84.8219219662348,2526.60627775644,0,0,0,0,54397.7794757726,1985102422.69308
2025-07-31,1983661.9357309,496722.30013642,43265.8586212971,0,43855.0469554542,172497.946225473,12572.3832811956,261884.420184362,0,83.9766843801271,2488.50638437676,0,0,0,0,54453.8993657851,1977799463.14726
2025-08-31,1983085.69815194,497778.92394311,43289.637430153,0,43684.0735038,95432.4777683171,12495.265992728,263826.83310901,0,83.1402687656842,2410.80115357183,0,0,0,0,56709.1644410385,1968265548.96318
2025-09-30,1981807.44432877,499796.037888109,43973.9099235383,0,43462.1858165561,141927.695884778,12501.6297387747,263760.810980813,0,82.5908373675098,2353.6189530864,0,0,0,0,56473.9100833405,1959685878.04933
2025-10-31,1985081.74189444,502269.694935811,44145.243028941,0,43311.1034848124,140265.729735983,12472.8457338493,265290.354075536,0,82.488355206049,2290.41790883469,0,0,0,0,57373.3875872696,1953040758.93346
2025-11-30,1979291.76116037,502000.71821594,44177.8872743044,0,43160.4264757583,56143.4211548102,12608.7081107187,266781.013406632,0,81.6690514812178,2233.27189114467,0,0,0,0,60445.4136650295,1942775048.65292
2025-12-31,1980794.44861959,504783.230782181,44361.4547678766,0,43010.2786256941,117571.953138361,12797.4224013949,268400.858193216,0,80.8582576768871,2163.44817084717,0,0,0,0,59839.1713155355,1935880000.20239
2026-01-31,1979402.32373012,506116.105968707,44533.2719245573,0,42854.2745570597,83879.7282845974,12766.9974132022,269920.155988495,0,80.0558807157081,2095.82223959796,0,0,0,0,61662.2888417285,1925097159.52984
2026-02-28,1974340.62973932,506011.866675744,44457.7211733171,0,42704.8001943337,66906.0467010943,12706.5649301443,271751.622070224,0,80.2730892638871,2041.51249099478,0,0,0,0,62773.5801305378,1913813850.64795
2026-03-31,1971712.14495027,504522.815936861,44974.0831980722,0,42555.8542818984,114321.230627133,12618.0706945054,273466.945904305,0,79.4828485953169,2006.52083870228,0,0,0,0,62513.7677656437,1903072167.25192
2026-04-30,1969970.24861262,505663.266499766,45269.952896051,0,42407.4155913635,134227.800758767,12519.871789013,275079.909743355,0,79.6626770300243,1943.63620975393,0,0,0,0,62745.5800162641,1895521504.51948
2026-05-31,1971480.53063611,507217.058958398,45609.658029701,0,42148.8360435842,181280.82269584,12525.3470649316,275009.207318179,0,79.8360811209374,1882.7356562575,0,0,0,0,62423.5548881469,1891309907.68515
2026-06-30,1965944.00669713,508666.115492856,45497.7507429651,0,41884.1058126502,115924.900305306,12540.7327949354,274827.037488543,0,79.0597841597264,1823.75618527307,0,0,0,0,64551.8740109046,1882374943.05987
2026-07-31,1970043.88373967,510416.626384223,46097.6675844335,0,41738.0714346376,165927.592385315,12548.5123807705,276745.012895276,0,78.2913981682472,1797.43119414996,0,0,0,0,64153.0833725147,1875818104.57229
2026-08-31,1967448.34154789,511502.634079346,46109.5425883173,0,41525.9045869772,88310.0035056977,12306.7604231309,277504.951342444,0,77.5308379495133,1740.99288511682,0,0,0,0,66960.7307957168,1866002162.38767
