2 Yield Curve and Inflation Rates - 30Jun17 - SAM CPR RiskFree rates;;;
!2;TIME;RFR_PC;RY_PC
*;0;4.595638367;1.713338148
*;1;4.257269978;1.710953605
*;2;3.924629686;1.708607535
*;3;4.275724572;1.905488385
*;4;4.343259902;2.020625096
*;5;4.374683662;2.126757882
*;6;2.902492023;2.229493648
*;7;2.260128457;2.327116255
*;8;1.793394274;2.431613956
*;9;4.821012391;2.539567483
*;10;3.551611036;2.644119989
*;11;3.51519544;2.748699421
*;12;4.571950657;2.851590035
*;13;4.791331081;2.957936759
*;14;4.938227564;3.064311652
*;15;5.07806303;3.165564466
*;16;5.222685451;3.270274628
*;17;5.372102867;3.378446447
*;18;5.519199267;3.484928418
*;19;5.659226296;2.817392762
*;20;5.799296736;2.844138543
*;21;5.941790148;2.871339497
*;22;6.086704817;2.898995561
*;23;6.234047153;2.92710698
*;24;6.374306315;2.953859931
*;25;6.521744224;2.98197499
*;26;6.671614469;3.010545588
*;27;6.816774561;3.038211002
*;28;6.961983867;3.065878298
*;29;7.104859444;3.09309382
*;30;7.252545771;3.121218376
*;31;7.395517831;3.148437596
*;32;7.51063436;3.175204803
*;33;7.649813493;3.201973827
*;34;7.793753623;3.22965197
*;35;7.942465662;3.258239659
*;36;8.086502745;3.285921617
*;37;8.232949468;3.314059285
*;38;8.374718868;3.341291131
*;39;8.518895414;3.368978595
*;40;8.665485301;3.397121919
*;41;8.80502641;5.541114334
*;42;8.951707692;6.372660245
*;43;9.098440159;6.53683102
*;44;9.233380518;6.687814729
*;45;9.377832796;6.849447892
*;46;9.529441902;7.019097371
*;47;9.669251962;7.175550911
*;48;9.813843553;7.337361754
*;49;9.963227459;7.504543691
*;50;10.10791419;7.666475825
*;51;10.2550203;7.831123078
*;52;10.39742695;7.990517604
*;53;10.5422505;8.152624051
*;54;10.691872;8.320108703
*;55;10.83203868;4.718961272
*;56;10.97224575;4.745795902
*;57;11.11725198;4.773542035
*;58;11.25992507;4.800835077
*;59;11.40502071;4.828584796
*;60;11.55254187;4.85679131
*;61;11.69534962;4.884089758
*;62;11.84058042;4.911844911
*;63;11.99062195;4.940512042
*;64;12.13118144;4.967360828
*;65;12.27654686;4.995121411
*;66;12.42672883;5.023794211
*;67;12.56503362;5.050193093
*;68;12.70814794;5.077503922
*;69;12.85608068;5.105727052
*;70;12.99689795;5.132586274
*;71;13.1425311;5.160357706
*;72;13.29298759;5.189041645
*;73;13.44110192;5.217272159
*;74;13.58687259;5.245049187
*;75;13.73029657;5.27237261
*;76;13.8761546;5.300153208
*;77;13.50786841;5.328391099
*;78;12.54734425;5.355719904
*;79;12.64550573;5.381683878
*;80;12.75057732;5.409471549
*;81;12.85912027;5.438172318
*;82;12.9642405;5.465963732
*;83;13.06938463;5.493756986
*;84;13.17282779;5.521096366
*;85;13.27974248;5.549348866
*;86;13.38668219;5.577603298
*;87;13.48846966;5.6044923
*;88;13.59372974;5.632294512
*;89;13.70246633;5.661010233
*;90;13.80950103;5.689272015
*;91;13.91310634;5.716623935
*;92;14.01673338;5.743977542
*;93;14.11865624;5.037784615
*;94;14.22405536;5.049955554
*;95;14.33293623;5.062525932
*;96;14.43838335;5.074697595
*;97;14.54558307;5.087069156
*;98;14.64934791;5.099041984
*;99;14.75486409;5.111214693
*;100;14.86213476;5.123587328
*;101;14.96423688;5.13536162
*;102;15.07155285;5.147734944
*;103;15.17716297;5.159909077
*;104;15.27586752;5.171285207
*;105;15.38152054;5.183459994
*;106;15.49066256;5.196034334
*;107;15.5946303;5.208010247
*;108;15.70035259;5.22018609
*;109;15.80956606;5.232761521
*;110;15.91186787;5.244538856
*;111;16.01765843;5.256715744
*;112;16.12694318;5.269292265
*;113;16.23278097;5.281469876
*;114;16.34037738;5.293847481
*;115;16.44278995;5.305626513
*;116;16.54175037;5.317006556
*;117;16.64767698;5.329185531
*;118;16.75710128;5.341764196
*;119;16.85960033;5.35354456
*;120;16.96559464;5.365724578
*;121;17.0750896;5.378304332
*;122;17.18113073;5.390485072
*;123;17.28893361;5.402865858
*;124;17.39328159;5.414847613
*;125;17.49939009;5.427029396
*;126;17.60900204;5.43961096
*;127;17.71167668;5.451394038
*;128;14.74426118;5.463177426
*;129;14.80279465;5.475360606
*;130;14.86037552;5.4873444
*;131;14.91892316;5.499528267
*;132;14.97843804;5.51191223
*;133;15.03604028;5.52389706
*;134;15.09460939;5.536081968
*;135;15.1551066;5.54866676
*;136;15.21176979;5.56045286
*;137;15.27036034;5.57263881
*;138;15.33087994;5.585224688
*;139;15.3866031;5.596812014
*;140;15.44521506;5.608999004
*;141;15.50575675;5.621585958
*;142;15.56438352;5.633773668
*;143;15.62301758;5.645961733
*;144;15.68069734;5.657950331
*;145;15.74030691;5.670338897
*;146;15.79992411;5.682727835
*;147;15.85666341;5.69451764
*;148;15.91533285;5.70670743
*;149;15.97593362;5.719297263
*;150;16.03557984;5.731687618
*;151;16.09234698;5.743478782
*;152;16.14912042;5.755270255
*;153;16.20686327;5.767261931
*;154;16.26557525;5.7794538
*;155;16.32525732;5.791845907
*;156;16.38205831;5.803638727
*;157;16.44175435;5.816031518
*;158;16.50242118;5.828624582
*;159;16.56116906;5.840818209
*;160;16.61992415;5.853012189
*;161;16.67772291;4.921857496
*;162;16.73745537;4.635158606
*;163;16.79526831;4.632204547
*;164;16.85212397;4.629299742
*;165;16.9089866;4.626394958
*;166;16.96778325;4.623391726
*;167;17.02851559;4.620290052
*;168;17.08732686;4.617286865
*;169;17.14710955;4.614234468
*;170;17.20497082;4.611280557
*;171;17.26380315;4.608277434
*;172;17.32360747;4.605225103
*;173;17.38052474;4.602320486
*;174;17.4403429;4.599268198
*;175;17.49920391;4.596265163
*;176;17.55517622;4.593409837
*;177;17.61405059;4.590406844
*;178;17.67389737;4.587354643
*;179;17.73182064;4.584400922
*;180;17.79071596;4.581397993
*;181;17.85154989;4.57829663
*;182;17.90852826;4.575392201
*;183;17.9674445;4.572389337
*;184;18.02830029;4.569288042
*;185;18.08723102;4.566285222
*;186;18.14713507;4.563233197
*;187;18.20511373;4.560279647
*;188;18.26309891;4.557326117
*;189;18.93114137;4.554323384
*;190;18.99545307;4.551369896
*;191;19.06084498;4.548367205
*;192;19.12731767;4.545315312
*;193;19.19165456;4.542361889
*;194;19.25707178;4.539359262
*;195;19.32464302;4.536258212
*;196;19.38793236;4.533354076
*;197;19.45337484;4.530351514
*;198;19.52097246;4.527250531
*;199;19.5832131;4.524395679
*;200;19.64760756;4.521442403
*;201;19.71415755;4.518390707
*;202;19.7774954;4.515486695
*;203;19.84298829;4.512484262
*;204;19.91063765;4.509383412
*;205;19.9772219;4.506331804
*;206;20.04274079;4.503329438
*;207;20.10719372;4.500376311
*;208;20.17272915;4.497373988
*;209;20.23934761;4.494322468
*;210;20.3038255;4.491369406
*;211;20.36508695;4.869385357
*;212;20.43065512;4.916010432
*;213;20.49838248;4.917076652
*;214;20.56396799;4.918109028
*;215;20.62956203;4.919141405
*;216;20.69408885;4.920156861
*;217;20.76077491;4.921206168
*;218;20.82746992;4.922255478
*;219;20.8909457;4.923254017
*;220;20.95658111;4.924286407
*;221;21.02437758;4.925352649
*;222;21.09110652;4.926401969
*;223;21.15461486;4.927400517
*;224;21.21813057;4.928399069
*;225;21.28273117;4.929414547
*;226;21.34841633;4.930446952
