2 Yield Curve and Inflation Rates - 30Jun17 - SAM CPR RiskFree rates;;;
!2;TIME;RFR_PC;RY_PC
*;0;7.484482399;2.529003332
*;1;7.650447483;2.524031423
*;2;7.206583532;2.519219956
*;3;7.278553983;2.525255753
*;4;7.465006873;2.528309363
*;5;7.487347931;2.529790462
*;6;7.748527461;2.531346876
*;7;7.898887649;2.532878194
*;8;7.997559093;2.534309101
*;9;7.553417066;2.535840429
*;10;7.409168092;2.537421971
*;11;7.379586141;2.538928207
*;12;7.775375509;2.540459552
*;13;7.897308311;2.542041111
*;14;7.94345618;2.54352226
*;15;7.991173206;2.545053622
*;16;8.040460597;2.546635199
*;17;7.997569817;2.548166573
*;18;7.835025953;2.549723057
*;19;7.851025681;2.551204234
*;20;7.866483589;2.552635205
*;21;7.883026864;2.554166602
*;22;7.900113227;2.555748214
*;23;7.916115365;2.557229412
*;24;7.932660529;2.558760825
*;25;7.949748864;2.560342455
*;26;7.966295335;2.56187388
*;27;7.983113714;2.563430417
*;28;7.999390196;2.564936748
*;29;8.015938555;2.56646819
*;30;8.039833411;2.56804985
*;31;8.062833186;2.569531092
*;32;8.079949171;2.571037446
*;33;8.097636434;2.572594017
*;34;8.114468526;2.574075276
*;35;8.131871861;2.575606752
*;36;8.149846554;2.577188447
*;37;8.167536656;2.578745041
*;38;8.184942143;2.580276535
*;39;8.202062969;2.581782928
*;40;8.219469829;2.583314433
*;41;8.237162768;2.584871051
*;42;8.254285664;2.586377461
*;43;8.270553036;2.587808556
*;44;8.287962617;2.589340083
*;45;8.879684857;2.590921831
*;46;8.922097439;2.59245337
*;47;8.96451418;2.593984915
*;48;9.006239522;2.595491358
*;49;9.049359794;2.597048022
*;50;9.092484426;2.598604692
*;51;9.133526269;2.600086045
*;52;9.175963241;2.601617618
*;53;9.219796014;2.603199413
*;54;9.262937244;2.604756106
*;55;9.303995006;2.569759492
*;56;9.345056385;2.569977838
*;57;9.386817797;2.570199885
*;58;9.429279103;2.570425633
*;59;9.472440842;2.570655082
*;60;9.513517981;2.570873428
*;61;9.556687719;2.571102877
*;62;9.600558292;2.571336027
*;63;9.643040145;2.571561776
*;64;9.68552613;2.571787524
*;65;9.727319554;2.572009572
*;66;9.770510151;2.572239022
*;67;9.812311696;2.57246107
*;68;9.74738355;2.572679418
*;69;9.785516556;2.572897765
*;70;9.824945413;2.573123515
*;71;9.865670927;2.573356666
*;72;9.905107001;2.573582415
*;73;9.945193175;2.573811866
*;74;9.983989738;2.574033915
*;75;10.02343622;2.574259665
*;76;10.0635331;2.574489116
*;77;10.10169311;2.557456873
*;78;10.14179684;2.551671076
*;79;10.1819044;2.551306425
*;80;10.21878057;2.550971181
*;81;10.25824773;2.550612412
*;82;10.29965986;2.550235998
*;83;10.33784009;2.549888993
*;84;10.37731774;2.549530224
*;85;10.41809364;2.549159693
*;86;10.45757848;2.548800926
*;87;10.49771421;2.548436277
*;88;10.5365587;2.548083391
*;89;10.5760539;2.547724624
*;90;10.61684779;2.547354095
*;91;10.655055;2.430814011
*;92;10.69326528;2.428018672
*;93;10.73277436;2.425128597
*;94;10.7716391;2.42228592
*;95;10.81115499;2.419395885
*;96;10.85132226;2.416458494
*;97;10.89019727;2.413615877
*;98;10.92972348;2.410725903
*;99;10.97054939;2.407741198
*;100;11.00878658;2.404946018
*;101;11.04832311;2.402056105
*;102;11.08915978;2.399071463
*;103;11.12675868;2.396323717
*;104;11.16565721;2.39348124
*;105;11.20585604;2.390544034
*;106;11.24411305;2.387748972
*;107;11.28367018;2.38485918
*;108;11.324528;2.381874664
*;109;11.36474085;2.378937542
*;110;11.4043086;2.376047814
*;111;11.44323103;2.373205478
*;112;11.48280556;2.37031579
*;113;11.40991437;2.367378751
*;114;11.20769381;2.364536475
*;115;11.2389296;2.361836332
*;116;11.27235964;2.358946723
*;117;11.30688851;2.355962396
*;118;11.34032364;2.35307283
*;119;11.37376128;2.350183285
*;120;11.40665315;2.347341128
*;121;11.44064387;2.344404254
*;122;11.47463722;2.341467402
*;123;11.50698808;2.338672675
*;124;11.54043791;2.33578323
*;125;11.57498712;2.332799072
*;126;11.60899048;2.329862303
*;127;11.64189941;2.327020288
*;128;11.67481064;2.324178293
*;129;11.70717577;2.440033667
*;130;11.74064028;2.438974327
*;131;11.77520472;2.437880257
*;132;11.8086743;2.436820922
*;133;11.8426951;2.435744224
*;134;11.8756209;2.434702261
*;135;11.9090978;2.433642934
*;136;11.94312612;2.432566245
*;137;11.97551023;2.431541656
*;138;12.00954337;2.430464971
*;139;12.04303023;2.429405656
*;140;12.07432334;2.428415806
*;141;12.10781478;2.427356496
*;142;12.14240696;2.426262457
*;143;12.17535433;2.425220518
*;144;12.20885315;2.424161216
*;145;12.24345295;2.423067185
*;146;12.27585834;2.42204262
*;147;12.30936445;2.420983326
*;148;12.34397186;2.419889304
*;149;12.37748303;2.418830016
*;150;12.41154608;2.417753365
*;151;12.44396332;2.416728813
*;152;12.47528376;2.415738994
*;153;12.50880445;2.414679717
*;154;12.54342682;2.413585712
*;155;12.57585334;2.41256117
*;156;12.6093813;2.411501901
*;157;12.64401126;2.410407904
*;158;12.67754426;2.409348641
*;159;12.71162949;2.408272015
*;160;12.74461763;2.407230122
*;161;12.77815789;2.406170866
*;162;12.81280047;2.405076884
*;163;12.84524591;2.404052363
*;164;11.44285015;2.403027846
*;165;11.45897286;2.401968601
*;166;11.47483182;2.400926724
*;167;11.49095566;2.399867485
*;168;11.50734442;2.398790884
*;169;11.52320509;2.397749015
*;170;11.53933064;2.396689784
*;171;11.55598553;2.395595827
*;172;11.57158354;2.39457133
*;173;11.58771081;2.393512107
*;174;11.60436749;2.392418159
*;175;11.61970276;2.391411035
*;176;11.63583175;2.39035182
*;177;11.6524902;2.38925788
*;178;11.66862038;2.388198671
*;179;11.68475115;2.387139465
*;180;11.70061803;2.386097626
*;181;11.71701438;2.385021061
*;182;11.73341135;2.383944499
*;183;11.74901546;2.382920032
*;184;11.76514907;2.381860839
*;185;11.78181227;2.380766922
