!2;TIME;RFR_PC;RY_PC
*;173;17.13114829;5.346961613
*;174;17.16903895;5.349696374
*;175;17.20503781;5.127844819
*;176;17.24356572;5.101000668
*;177;17.28336028;5.100915111
*;178;17.32189454;5.100832271
*;179;17.36043192;5.10074943
*;180;17.39834051;5.100667947
*;181;17.43751579;5.100583748
*;182;17.47669433;5.10049955
*;183;17.51398006;5.100419425
*;184;17.55253262;5.100336584
*;185;17.59235252;5.100251028
*;186;17.63154352;5.100166829
*;187;17.6688412;5.100086704
*;188;17.70614159;5.10000658
*;189;17.74407725;5.099925097
*;190;17.78264807;5.099842257
*;191;17.82185447;5.099758058
*;192;17.85916669;5.099677933
*;193;17.89837909;5.099593735
*;194;17.93822737;5.099508178
*;195;17.97681363;5.099425338
*;196;18.01540299;5.099342497
*;197;18.05336268;5.099261015
*;198;18.09259075;5.099176816
*;199;14.26480623;5.099093976
*;200;14.26467619;5.099013851
*;201;14.26454174;5.098931011
*;202;14.26440508;5.098846813
*;203;14.26427284;5.09876533
*;204;14.26413839;5.09868249
*;205;14.26399953;5.098596933
*;206;14.26386949;5.098516809
*;207;14.26373504;5.098433969
*;208;14.26359618;5.098348412
*;209;14.26346173;5.098265572
*;210;14.26332507;5.098181374
*;211;14.26319503;5.09810125
*;212;14.2630694;5.098023842
*;213;14.26293495;5.097941001
*;214;14.26279609;5.097855445
*;215;14.26266605;5.097775321
*;216;14.26253159;5.097692481
*;217;14.26239274;5.097606925
*;218;14.26225829;5.097524084
*;219;14.26212163;5.097439886
*;220;14.26198939;5.097358404
*;221;14.26185494;5.097275564
*;222;14.26171608;5.097190008
*;223;14.26158604;5.097109884
*;224;14.26145599;5.09702976
*;225;14.26132154;5.09694692
*;226;14.2611893;5.096865438
*;227;14.26105485;5.096782598
*;228;14.2609182;5.0966984
*;229;14.26078595;5.096616918
*;230;14.2606515;5.096534078
*;231;14.26051264;5.096448522
*;232;14.2603826;5.096368398
*;233;14.26024815;5.096285558
*;234;14.26010929;5.096200002
*;235;14.25998146;5.096121237
*;236;14.25984921;5.096039755
*;237;14.25971256;5.095955557
*;238;14.25958252;5.095875433
*;239;14.25944807;5.095792593
*;240;14.25930921;5.095707038
*;241;14.25917256;5.09562284
*;242;14.25903811;5.09554
*;243;14.25890586;5.095458518
*;244;14.25877141;5.095375679
*;245;14.25863476;5.095291481
*;246;14.25850252;5.095209999
*;247;13.12550049;5.095128518
*;248;12.99485611;5.09504432
*;249;12.98476098;5.094962838
*;250;12.97449781;5.094879999
*;251;12.96406665;5.094795801
*;252;12.95414044;5.094715677
*;253;12.94370974;5.09463148
*;254;12.93311107;5.094545924
*;255;12.9228491;5.094463085
*;256;12.91258736;5.094380245
*;257;12.90249408;5.094298764
*;258;12.89206459;5.094214566
*;259;12.88197178;5.094133085
*;260;12.87204739;5.094052961
*;261;12.86212323;5.093972838
*;262;12.85186288;5.093889999
*;263;12.84126639;5.093804443
*;264;12.83100653;5.093721604
*;265;12.82057871;5.093637406
*;266;12.81048752;5.093555925
*;267;12.80022836;5.093473086
*;268;12.78980127;5.093388888
*;269;12.77987894;5.093308765
*;270;12.76945231;5.093224568
*;271;12.75919411;5.093141728
*;272;12.74944062;5.093062963
*;273;12.73918287;5.083926488
*;274;12.7287572;5.082801395
*;275;12.71866808;5.082647801
*;276;12.70841104;5.082491648
*;277;12.69781795;5.082330375
*;278;12.68789767;5.082179341
*;279;12.67764133;5.082023188
*;280;12.66704898;5.081861915
*;281;12.65679313;5.081705762
*;282;12.64636939;5.081547049
*;283;12.63645026;5.081396016
*;284;12.62686758;5.081250103
*;285;12.61661264;5.08109395
*;286;12.60602174;5.080932677
*;287;12.59610351;5.080781644
*;288;12.58584929;5.080625492
*;289;12.57525912;5.08046422
*;290;12.56500539;5.080308067
*;291;12.5545838;5.080149355
*;292;12.54449863;5.079995762
*;293;12.5342456;5.07983961
*;294;12.52365666;5.079678338
*;295;12.51374027;5.079527305
*;296;12.50940849;5.079373713
*;297;12.50507687;5.079215001
*;298;12.50074542;5.079063969
*;299;12.49641414;5.078907817
*;300;12.49208302;5.078746545
*;301;12.48775207;5.078587833
*;302;12.48342129;5.078431681
*;303;12.47909068;5.078278089
*;304;12.47476023;5.078121938
*;305;12.47042995;5.077963226
*;306;12.46609983;5.077809634
*;307;12.46176988;5.077663722
*;308;12.4574401;5.077507571
*;309;12.45311049;5.0773463
*;310;12.44878104;5.077190148
*;311;12.44445176;5.077033997
*;312;12.44012264;5.076880406
*;313;12.43579369;5.076721695
*;314;12.43146491;5.076562984
*;315;12.4271363;5.076411952
*;316;12.42280785;5.076255801
*;317;12.41847957;5.076094531
*;318;12.41415145;5.07593582
*;319;12.4098235;5.075784789
*;320;12.40549572;5.075633758
*;321;12.4011681;5.075480167
*;322;12.39684066;5.075324016
*;323;12.39251337;5.075165306
*;324;12.38818626;5.075014275
*;325;12.38385931;5.074855564
*;326;12.37953253;5.074694294
*;327;12.37520591;5.074538144
*;328;12.37087946;5.074381994
*;329;12.36655318;5.074228403
*;330;12.36222706;5.071762629
*;331;12.35790111;5.069296913
*;332;12.35357533;5.066831255
*;333;12.34924972;5.064365655
*;334;12.34492427;5.061900113
