Reporting Date,GIC Code,Premium CFs (Unlinked)(Current Service),Premium CFs (Unlinked)(Future Service),Acquisition Expense CFs (Unlinked)(Current Service),Acquisition Expense CFs (Unlinked)(Future Service),Investment Component CFs (Unlinked),Claim and Other Expense CFs (Unlinked)(Incurred in Current Reporting Period),Claim and Other Expense CFs (Unlinked)(Incurred in Future Reporting Periods),Premium CFs (Linked)(Current Service),Premium CFs (Linked)(Future Service),Acquisition Expense CFs (Linked)(Current Service),Acquisition Expense CFs (Linked)(Future Service),Investment Component CFs (Linked),Claim and Other Expense CFs (Linked)(Incurred in Current Reporting Period),Claim and Other Expense CFs (Linked)(Incurred in Future Reporting Periods),Delay (in Years)
6/30/2017,BLL_1711,0,40151.80931,0,717.9614913,0,0,-20826.44711,0,0,0,0,0,0,0,4.083333333
6/30/2017,BLL_1711,0,39696.99437,0,680.4384237,0,0,-20700.41008,0,0,0,0,0,0,0,4.166666667
6/30/2017,BLL_1711,0,39247.65024,0,620.3108548,0,0,-20563.05617,0,0,0,0,0,0,0,4.25
6/30/2017,BLL_1711,0,38803.62348,0,531.7017488,0,0,-20421.9807,0,0,0,0,0,0,0,4.333333333
6/30/2017,BLL_1711,0,38364.80809,0,427.3114627,0,0,-20279.22932,0,0,0,0,0,0,0,4.416666667
6/30/2017,BLL_1711,0,37931.12623,0,375.8394701,0,0,-20136.0784,0,0,0,0,0,0,0,4.5
6/30/2017,BLL_1711,0,37502.5109,0,325.4849747,0,0,-19993.2074,0,0,0,0,0,0,0,4.583333333
6/30/2017,BLL_1711,0,37078.8967,0,276.2286735,0,0,-19850.8709,0,0,0,0,0,0,0,4.666666667
6/30/2017,BLL_1711,0,37342.77363,0,-9479.582856,0,0,-19869.35972,0,0,0,0,0,0,0,4.75
6/30/2017,BLL_1711,0,38380.28124,0,-20428.30988,0,0,-20039.08911,0,0,0,0,0,0,0,4.833333333
6/30/2017,BLL_1711,0,39745.82157,0,-24585.78858,0,0,-20361.70829,0,0,0,0,0,0,0,4.916666667
6/30/2017,BLL_1711,0,39295.52634,0,728.8863588,0,0,-20399.45612,0,0,0,0,0,0,0,5
6/30/2017,BLL_1711,0,38850.99348,0,692.0150308,0,0,-20317.46,0,0,0,0,0,0,0,5.083333333
6/30/2017,BLL_1711,0,38412.15523,0,655.8897092,0,0,-20206.19049,0,0,0,0,0,0,0,5.166666667
6/30/2017,BLL_1711,0,37978.57528,0,598.0840972,0,0,-20083.24793,0,0,0,0,0,0,0,5.25
6/30/2017,BLL_1711,0,37550.09869,0,512.6636123,0,0,-19956.27996,0,0,0,0,0,0,0,5.333333333
6/30/2017,BLL_1711,0,37126.61822,0,411.9817368,0,0,-19827.34027,0,0,0,0,0,0,0,5.416666667
6/30/2017,BLL_1711,0,36708.05806,0,362.3867565,0,0,-19697.65956,0,0,0,0,0,0,0,5.5
6/30/2017,BLL_1711,0,36294.35395,0,313.8654163,0,0,-19567.70874,0,0,0,0,0,0,0,5.583333333
6/30/2017,BLL_1711,0,35885.44346,0,266.3993033,0,0,-19437.78139,0,0,0,0,0,0,0,5.666666667
6/30/2017,BLL_1711,0,36145.43867,0,-9129.097583,0,0,-19458.42852,0,0,0,0,0,0,0,5.75
6/30/2017,BLL_1711,0,37159.18335,0,-19709.63788,0,0,-19638.47558,0,0,0,0,0,0,0,5.833333333
6/30/2017,BLL_1711,0,38493.17614,0,-23703.63275,0,0,-19965.31347,0,0,0,0,0,0,0,5.916666667
6/30/2017,BLL_1711,0,38057.89914,0,702.7618995,0,0,-20008.01353,0,0,0,0,0,0,0,6
6/30/2017,BLL_1711,0,37628.21379,0,667.2207225,0,0,-19938.1439,0,0,0,0,0,0,0,6.083333333
6/30/2017,BLL_1711,0,37203.9759,0,632.396963,0,0,-19839.88795,0,0,0,0,0,0,0,6.166666667
6/30/2017,BLL_1711,0,36784.79726,0,576.685551,0,0,-19729.99144,0,0,0,0,0,0,0,6.25
6/30/2017,BLL_1711,0,36370.52668,0,494.2926869,0,0,-19615.81338,0,0,0,0,0,0,0,6.333333333
6/30/2017,BLL_1711,0,35961.06169,0,397.2587817,0,0,-19499.29244,0,0,0,0,0,0,0,6.416666667
6/30/2017,BLL_1711,0,35556.32949,0,349.4404105,0,0,-19381.56808,0,0,0,0,0,0,0,6.5
6/30/2017,BLL_1711,0,35156.26848,0,302.6551138,0,0,-19263.21801,0,0,0,0,0,0,0,6.583333333
6/30/2017,BLL_1711,0,34760.81886,0,256.8852781,0,0,-19144.69167,0,0,0,0,0,0,0,6.666666667
6/30/2017,BLL_1711,0,35014.77382,0,-8781.770293,0,0,-19177.08804,0,0,0,0,0,0,0,6.75
6/30/2017,BLL_1711,0,36002.74747,0,-18990.17783,0,0,-19372.34353,0,0,0,0,0,0,0,6.833333333
6/30/2017,BLL_1711,0,37294.74708,0,-22691.24724,0,0,-19696.7617,0,0,0,0,0,0,0,6.916666667
6/30/2017,BLL_1711,0,36873.51985,0,675.3423769,0,0,-19738.54003,0,0,0,0,0,0,0,7
6/30/2017,BLL_1711,0,36457.71389,0,641.111747,0,0,-19675.8905,0,0,0,0,0,0,0,7.083333333
6/30/2017,BLL_1711,0,36047.12589,0,607.5710451,0,0,-19586.54426,0,0,0,0,0,0,0,7.166666667
6/30/2017,BLL_1711,0,35641.40786,0,553.9636723,0,0,-19486.51456,0,0,0,0,0,0,0,7.25
6/30/2017,BLL_1711,0,35240.41733,0,474.6133004,0,0,-19382.45805,0,0,0,0,0,0,0,7.333333333
6/30/2017,BLL_1711,0,34844.0595,0,381.5866366,0,0,-19276.32136,0,0,0,0,0,0,0,7.416666667
6/30/2017,BLL_1711,0,34452.26452,0,335.5865868,0,0,-19169.09094,0,0,0,0,0,0,0,7.5
6/30/2017,BLL_1711,0,34064.97456,0,290.5789406,0,0,-19061.29488,0,0,0,0,0,0,0,7.583333333
6/30/2017,BLL_1711,0,33682.13234,0,246.5468486,0,0,-18953.22947,0,0,0,0,0,0,0,7.666666667
6/30/2017,BLL_1711,0,33929.06954,0,-8425.283534,0,0,-18981.72892,0,0,0,0,0,0,0,7.75
6/30/2017,BLL_1711,0,34891.63168,0,-18260.34875,0,0,-19171.17268,0,0,0,0,0,0,0,7.833333333
6/30/2017,BLL_1711,0,36149.89648,0,-21739.93864,0,0,-19491.51715,0,0,0,0,0,0,0,7.916666667
6/30/2017,BLL_1711,0,35741.74001,0,647.7984453,0,0,-19538.89482,0,0,0,0,0,0,0,8
6/30/2017,BLL_1711,0,35338.84687,0,614.9692834,0,0,-19485.06177,0,0,0,0,0,0,0,8.083333333
6/30/2017,BLL_1711,0,34941.01934,0,582.8010606,0,0,-19405.18782,0,0,0,0,0,0,0,8.166666667
6/30/2017,BLL_1711,0,34547.90787,0,531.4046346,0,0,-19314.85075,0,0,0,0,0,0,0,8.25
6/30/2017,BLL_1711,0,34159.37033,0,455.2273903,0,0,-19220.54265,0,0,0,0,0,0,0,8.333333333
