"Month","Total_Premiums","Total_Recoveries","Total_FinReIncomeCF","Total_FinReRepayment","Total_RiskReinsuranceRecoveries","Total_RiskReinsurancePremiums"
1,0,732851.604154977,0,8006488.25379264,732851.604154977,-8006488.25379264
2,0,730490.522652355,0,7955101.8754298,730490.522652355,-7955101.8754298
3,0,729220.863497643,0,7942536.29619185,729220.863497643,-7942536.29619185
4,0,729782.902257916,0,7920982.04315415,729782.902257916,-7920982.04315415
5,0,731334.0872912,0,7930810.11408209,731334.0872912,-7930810.11408209
6,0,730991.18948738,0,7953296.66989835,730991.18948738,-7953296.66989835
7,0,728980.538626037,0,7958149.75311153,728980.538626037,-7958149.75311153
8,0,725798.056893353,0,7931553.95815461,725798.056893353,-7931553.95815461
9,0,725380.268885231,0,7929472.42814647,725380.268885231,-7929472.42814647
10,0,724888.184626353,0,7942062.83862239,724888.184626353,-7942062.83862239
11,0,721146.512448769,0,7961524.8574816,721146.512448769,-7961524.8574816
12,0,722902.571177006,0,7987637.8511794,722902.571177006,-7987637.8511794
13,0,723834.426062769,0,8017578.8866679,723834.426062769,-8017578.8866679
14,0,723278.950076986,0,8031199.27514094,723278.950076986,-8031199.27514094
15,0,722114.512752835,0,8049251.45283124,722114.512752835,-8049251.45283124
16,0,721045.597169994,0,8072347.97348728,721045.597169994,-8072347.97348728
17,0,723833.522411014,0,8109599.9028861,723833.522411014,-8109599.9028861
18,0,723715.247391882,0,8161235.00721973,723715.247391882,-8161235.00721973
19,0,724852.767565425,0,8199422.05457126,724852.767565425,-8199422.05457126
20,0,722469.514391922,0,8195378.33502124,722469.514391922,-8195378.33502124
21,0,723109.939199881,0,8208387.68140542,723109.939199881,-8208387.68140542
22,0,723323.881098409,0,8252474.52317726,723323.881098409,-8252474.52317726
23,0,724146.485591541,0,8290949.48288526,724146.485591541,-8290949.48288526
24,0,721227.578609242,0,8328755.8765477,721227.578609242,-8328755.8765477
25,0,723059.546221981,0,8326321.37811463,723059.546221981,-8326321.37811463
26,0,722699.320009603,0,8316220.25218245,722699.320009603,-8316220.25218245
27,0,723519.840963747,0,8306412.20604092,723519.840963747,-8306412.20604092
28,0,724535.378437608,0,8306466.78663671,724535.378437608,-8306466.78663671
29,0,726937.709227896,0,8312116.97814655,726937.709227896,-8312116.97814655
30,0,729101.175613461,0,8322288.15222284,729101.175613461,-8322288.15222284
31,0,731325.036365601,0,8322548.74897291,731325.036365601,-8322548.74897291
32,0,729646.786859275,0,8296329.31577404,729646.786859275,-8296329.31577404
33,0,731254.155990467,0,8281554.27381809,731254.155990467,-8281554.27381809
34,0,732850.12758949,0,8280400.6789662,732850.12758949,-8280400.6789662
35,0,734308.331686114,0,8276810.9048864,734308.331686114,-8276810.9048864
36,0,729671.066344358,0,8267094.01132501,729671.066344358,-8267094.01132501
37,0,731917.196436443,0,8268139.02657492,731917.196436443,-8268139.02657492
38,0,732596.15884331,0,8261610.03408433,732596.15884331,-8261610.03408433
39,0,733918.42629395,0,8257343.87958223,733918.42629395,-8257343.87958223
40,0,735418.903261394,0,8260165.23026301,735418.903261394,-8260165.23026301
41,0,739133.773410091,0,8261838.76805156,739133.773410091,-8261838.76805156
42,0,739762.686957429,0,8269713.4918137,739762.686957429,-8269713.4918137
43,0,740153.611195933,0,8272323.24866655,740153.611195933,-8272323.24866655
44,0,737811.338523919,0,8233927.02383601,737811.338523919,-8233927.02383601
45,0,740095.535005364,0,8217001.10459979,740095.535005364,-8217001.10459979
46,0,742679.95185816,0,8215032.95843668,742679.95185816,-8215032.95843668
47,0,738440.83331867,0,8207543.12826222,738440.83331867,-8207543.12826222
48,0,739616.906350745,0,8201825.63586276,739616.906350745,-8201825.63586276
49,0,742217.952113916,0,8197846.66373879,742217.952113916,-8197846.66373879
50,0,742452.3194717,0,8184638.26624356,742452.3194717,-8184638.26624356
51,0,740822.352514714,0,8180831.86241122,740822.352514714,-8180831.86241122
52,0,740658.464433912,0,8175060.81494712,740658.464433912,-8175060.81494712
53,0,741102.818174034,0,8169155.84924716,741102.818174034,-8169155.84924716
54,0,742801.912461188,0,8176841.97846749,742801.912461188,-8176841.97846749
55,0,743541.773347066,0,8176408.90954059,743541.773347066,-8176408.90954059
56,0,742070.552744888,0,8150727.15706224,742070.552744888,-8150727.15706224
57,0,743026.864616825,0,8134286.24732688,743026.864616825,-8134286.24732688
58,0,743797.265262449,0,8133395.44005931,743797.265262449,-8133395.44005931
59,0,742963.331759563,0,8128295.66206056,742963.331759563,-8128295.66206056
60,0,738458.40581392,0,8118130.11512475,738458.40581392,-8118130.11512475
61,0,741674.933956177,0,8116797.49060837,741674.933956177,-8116797.49060837
62,0,739064.019327578,0,8109247.873023,739064.019327578,-8109247.873023
63,0,741679.8013759,0,8107605.0303844,741679.8013759,-8107605.0303844
64,0,743609.046021091,0,8102532.2721861,743609.046021091,-8102532.2721861
65,0,748816.66639541,0,8107912.50969171,748816.66639541,-8107912.50969171
66,0,750657.449030529,0,8116152.51934267,750657.449030529,-8116152.51934267
67,0,752640.498305509,0,8121774.1760825,752640.498305509,-8121774.1760825
68,0,751711.359125959,0,8099445.0820142,751711.359125959,-8099445.0820142
69,0,753868.954429216,0,8085477.310315,753868.954429216,-8085477.310315
70,0,757107.849041825,0,8081517.3472776,757107.849041825,-8081517.3472776
71,0,758089.217629226,0,8076330.70064704,758089.217629226,-8076330.70064704
72,0,757068.787751264,0,8068642.04459082,757068.787751264,-8068642.04459082
73,0,758343.28844107,0,8066807.11335365,758343.28844107,-8066807.11335365
74,0,758574.313404253,0,8057637.59388278,758574.313404253,-8057637.59388278
75,0,761754.626442299,0,8056271.31587179,761754.626442299,-8056271.31587179
76,0,764063.545250947,0,8052808.66336432,764063.545250947,-8052808.66336432
77,0,768218.747506092,0,8053934.87555218,768218.747506092,-8053934.87555218
78,0,770680.958829109,0,8056717.25902968,770680.958829109,-8056717.25902968
79,0,772394.569452613,0,8061307.42905831,772394.569452613,-8061307.42905831
80,0,771564.859980699,0,8035673.76101313,771564.859980699,-8035673.76101313
81,0,773562.922159028,0,8021819.6990657,773562.922159028,-8021819.6990657
82,0,776868.530606531,0,8018888.33372728,776868.530606531,-8018888.33372728
83,0,776390.608218857,0,8007906.07733241,776390.608218857,-8007906.07733241
84,0,775086.093263981,0,7999488.17219907,775086.093263981,-7999488.17219907
