Time,PREM_INC,DEATH_OUTGO,DISAB_OUTGO,INIT_EXP,REN_EXP,INIT_COMM_V,REN_COMM_V,PHIBEN_OUTGO,PHIBEN_OUTGO_BLL,CR_BEN_OUTGO,RETR_OUTGO,DTH_OUTGO,DREADDIS_OUTGO,TEMPDIS_OUTGO,RIDERC_OUTGO,RISK_ADJ,COVERAGE_UNITS
2043-01-16,1724862.03711006,509482.53641189,50461.3672634926,0,47690.9353710319,0,0,1164059.60037868,0,0.0,3.62765236483582,0,0,0,0,-2341.15591421864,895237247.131638
2043-02-15,1714471.34972808,507225.374366408,51227.8998773222,0,47442.6982062914,0,0,1166044.11455759,0,0.0,3.50716825521189,0,0,0,0,-2343.3064133952,889576029.699345
2043-03-17,1696617.82994383,504226.132614418,50928.0918659827,0,47165.2896205613,0,0,1160996.82760896,0,0.0,3.39068920181913,0,0,0,0,-2339.01691754012,879816941.886203
2043-04-16,1684928.50077534,503194.088062358,50658.9196897488,0,46707.2119863146,0,0,1161119.74423238,0,0.0,3.27808195837539,0,0,0,0,-2306.53526364633,873115339.907538
2043-05-16,1669409.1471684,501258.688283002,50457.5866195515,0,46199.5651111086,0,0,1154956.21627433,0,0.0,3.16921771531472,0,0,0,0,-2272.93893329607,864653362.531441
2043-06-15,1655097.62899428,500347.523214234,50820.5359592433,0,45827.3732369597,0,0,1148973.05762666,0,0.0,3.09916853393704,0,0,0,0,-2278.0991349986,857691046.991403
2043-07-15,1653253.66373298,503393.611496611,50766.8208219261,0,45606.2896875591,0,0,1152380.94653311,0,0.0,2.9961391971356,0,0,0,0,-2287.59508571591,853628967.310449
2043-08-14,1638648.9787426,505951.505512266,50869.9506344081,0,44953.5465728735,0,0,1139314.08131597,0,0.0,2.89653805705919,0,0,0,0,-2307.93000794724,845182306.820826
2043-09-13,1631975.42237062,512526.745305707,51277.6463679353,0,44182.0636624369,0,0,1124930.77284791,0,0.0,2.85580100850167,0,0,0,0,-2312.63383986941,836993539.010362
2043-10-13,1635287.37845062,516720.76055585,51291.087684831,0,43952.8518346401,0,0,1129269.97887679,0,0.0,2.76067464113376,0,0,0,0,-2319.92583666398,831714631.721553
2043-11-12,1615681.95518304,512851.542300894,50606.4977988433,0,43517.7568881311,0,0,1124461.17945505,0,0.0,2.66871996856537,0,0,0,0,-2326.64355337701,821886959.699255
2043-12-12,1607860.33965148,513283.264306744,50599.592142237,0,43083.7579923963,0,0,1124494.27531046,0,0.0,2.57983114087327,0,0,0,0,-2328.8151610029,816167475.133861
2044-01-11,1594547.30494725,513820.267362557,50530.2565228588,0,42519.3461749793,0,0,1107926.90283655,0,0.0,1.59755257635142,0,0,0,0,-2312.51370181587,809854425.267143
2044-02-10,1565351.64083859,510885.49861527,45102.7502723888,0,42066.380138157,0,0,1092085.83144846,0,0.0,1.54310859845831,0,0,0,0,-2077.56060544231,795354623.988563
2044-03-11,1551860.2245136,507792.434290762,44870.5859311033,0,41774.4139279807,0,0,1091683.51599623,0,0.0,1.49052005459473,0,0,0,0,-2072.34442445568,788451687.105808
