"Time","PREM_INC","DEATH_OUTGO","DISAB_OUTGO","INIT_EXP","REN_EXP","INIT_COMM","REN_COMM","PHIBEN_OUTGO","PHIBEN_OUTGO_BLL","CR_BEN_OUTGO","RETR_OUTGO","DTH_OUTGO","DREADDIS_OUTGO","TEMPDIS_OUTGO","RIDERC_OUTGO","RISK_ADJ","COVERAGE_UNITS"
"m0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426640204.42
"m1",259243.743341291,55439.4414733472,3953.305491108,0,11510.4103207772,31266.8814273578,1594.99523582529,11012.2523491564,0,23.9225661303344,1419.23692323632,0,0,0,0,-615.176830267923,425185200.923732
"m2",259070.672246194,55660.1887109305,3920.25756834231,0,11474.202919682,25662.8071373588,1608.09769839537,19612.3307415336,0,23.5670673310069,1354.18023171402,0,0,0,0,-591.942880700397,423358463.681244
"m3",258092.612117317,55686.660333766,4005.16911549588,0,11443.9622306976,13166.4084910036,1610.50910144674,22546.0260781804,0,23.2168513845154,1292.2649365774,0,0,0,0,-569.544660377673,421417031.656138
"m4",258623.659094013,55926.1758080283,4116.12389861591,0,11406.8384139723,34075.9591156088,1598.33072274592,24233.3069948181,0,22.871839785576,1233.33461681114,0,0,0,0,-548.107443969614,421210567.906921
"m5",257366.829429218,55878.4586742292,4136.63169011463,0,11369.8520072368,5985.96455416632,1586.31708009542,25255.4886230188,0,22.5319551955248,1177.24077363734,0,0,0,0,-527.53185657357,418436259.327412
"m6",257217.199073839,55720.9843602237,4120.98718874096,0,11333.013586896,16754.619956407,1612.18283920462,26106.9586050069,0,22.1971214249808,1123.84242562711,0,0,0,0,-507.781195989851,416137920.365451
"m7",256136.128369117,55672.1457116514,4098.65902861324,0,11296.2907987883,10698.5968020125,1600.10889316012,26856.4919718797,0,21.8672634167674,1073.00572460318,0,0,0,0,-488.820394804253,413286398.947064
"m8",255500.43968107,55562.5665991321,4096.13234854095,0,11259.7088933505,16738.7345716178,1618.93467480371,27512.9738631045,0,21.5423072290873,1024.60359126362,0,0,0,0,-470.615945321975,411578161.261886
"m9",255139.053513866,55459.6170188585,4082.82186860774,0,11223.2689251356,22331.1290773716,1616.85808057881,28087.023472647,0,21.2221800189477,1004.29620747902,0,0,0,0,-276.458576063611,409939200.022626
"m10",257164.050650104,55942.9908866258,4165.21459399623,0,11186.9792003895,45313.7794915709,1647.75169698278,28676.7867830897,0,20.9068100258315,959.507846638433,0,0,0,0,-463.128484802231,408885592.962095
"m11",258559.74710598,56386.1628411333,4179.83214504223,0,11150.795460037,42092.9220126362,1650.84196838531,29299.4867708943,0,20.596126555611,916.834486460118,0,0,0,0,-447.41963216338,407676295.068979
"m12",258591.312686204,56640.4632229356,4162.83084735655,0,11103.1057732165,27761.5739145434,1638.46656952451,29851.7798830268,0,21.3045629629367,876.172701118133,0,0,0,0,-432.285701775731,406168477.18518
"m13",258966.232495226,56653.180112504,4146.91047239751,0,11067.1822039878,30596.2831755182,1626.20033499609,30393.9187933158,0,20.991576800923,848.992812807005,0,0,0,0,-417.703971806122,404778130.785063
"m14",259090.918215132,56889.772914081,4112.17246838678,0,11031.3692909063,25397.3289870215,1640.55528022331,30918.2686619037,0,20.6831887307727,811.759129986398,0,0,0,0,-403.652679859448,403059622.281783
"m15",258267.74471806,56948.8040642194,4198.59586539636,0,10995.6740395144,12888.7144232875,1643.47674308418,31331.7154865195,0,20.3793312017395,776.264719554522,0,0,0,0,-389.658274059751,401259457.981958
"m16",258910.996127993,57200.0600369281,4307.28030102713,0,10960.0714767122,34278.9258190786,1631.11378430698,31737.9197035077,0,20.079937655468,742.425070422951,0,0,0,0,-376.52716191517,401102101.514935
"m17",257685.920247728,57141.628621864,4330.28578812808,0,10924.5891811685,5632.42702724789,1618.84671865362,32059.7366270851,0,19.784942511414,710.159872041165,0,0,0,0,-363.864990122526,398466119.522318
"m18",257570.606052066,56981.2796751332,4312.49180814786,0,10889.2391845234,16038.4458404283,1645.58004656761,32392.8886598903,0,19.4942811524796,679.392803003451,0,0,0,0,-351.653955947132,396293990.283179
"m19",256501.720931061,56931.4662552682,4287.26500798589,0,10853.9882556536,10241.1622168137,1633.20417327381,32720.5065066709,0,19.2078899108594,650.05133036492,0,0,0,0,-339.876970862166,393590068.789616
"m20",255905.743502877,56814.5978097888,4287.05852601397,0,10818.8633063585,16606.1818833139,1652.20076916151,33020.9336816364,0,18.9257060540941,622.066519122238,0,0,0,0,-328.517630646417,391988179.919564
"m21",255553.463047529,56715.5081286701,4273.54091168973,0,10783.8655424189,21811.5595081197,1650.25815014962,33282.5588329767,0,18.6476677713292,612.2050819953,0,0,0,0,-8.4199620520507,390449343.797661
"m22",257619.859795,57186.6517830682,4356.52438508317,0,10749.0012538919,44003.4146970521,1684.41088232741,33604.755424078,0,18.3737141597762,586.00434119996,0,0,0,0,-337.023595634893,389424454.345466
"m23",258997.283993663,57605.7672931842,4375.53986582077,0,10714.2284913244,40897.1117593393,1687.28094719706,33980.5191515506,0,18.1037852113716,561.004596322389,0,0,0,0,-326.646355854499,388291108.820687
