"IFRS17_group_NB_Ins","CSM_LCpergroup","CurrPremCFS","CurrAcqCFS","CurrRA","CurrInitComm","CurrInitExp","PVRenExpenses","CurrExpPremiumsPV","FutExpPremiumsPV","CoverageUnits","CSM_LC_released_reversal","Interest_Accreted_NB","InterestAccBEL","Interest_accRA","PVFPrems","RA","BEL","LossCRecov","ReversalofLCRecov","ExpFutAcq","ExpCurrAcq","CurrClaimsandExps","FutExpClaimsExp","TotRenExp","TotPVClaims","TotPVComm","TotPVAcq","TotPVPrem","TotPVInitExp","TotBELinf","TotBELout","TotBELAcq","TotPVRenComm"
"2024_NB_Non-onerous_202",12078276.746944,2036825.8450929,34896077.1410201,178219.059531047,2401378.96110764,32494698.1799125,8251435.48612199,1901211.3767287,22263466.2545545,0.0449445529180721,542852.748412144,927885.739197806,980442.900932107,52557.161734296,24164677.6312832,684135.89911354,12762412.6460576,0,0,1668389.69078733,34896077.1410201,2970317.65885078,8601569.01025782,8251435.48612199,7464448.89138061,3937816.09384505,0,24164677.6312832,30686663.7415701,24164677.6312832,-11402264.9852257,0,233919.303933723
"2024_NB_Onerous_202",154290103.769606,27375706.9207897,114305460.065856,2932971.40432229,39881695.197495,74423764.8683612,18775290.4115947,25554472.7499937,298246927.048705,0.0414865877997039,6400969.93666318,11852981.1815572,12590093.3033912,737112.121833964,323801399.798699,9594979.02051469,163885082.790121,0,0,29765946.5893033,114305460.065856,48882856.7387048,113813179.310826,18775290.4115947,92455357.0028655,67460960.0057127,0,323801399.798699,70282745.043815,323801399.798699,-159916317.008578,0,3161003.03111961
"2024_NB_Remaining_202",70109195.3454029,12042430.0858599,22096627.6629039,1219881.12675448,16656755.0198406,5439872.64306322,1378881.32990467,11240957.6311333,134085151.320099,0.0425087129882607,2980251.66277563,5385977.14811363,5713054.4585029,327077.310389271,145326108.951233,4257561.1474998,74366756.4929027,0,0,12556991.5268961,22096627.6629039,20331352.1125747,51784786.2577384,1378881.32990467,42659772.3984154,28299580.0599146,0,145326108.951233,5137192.12422732,145326108.951233,-70959352.4583299,0,1571605.36752952
"Total",236477575.861953,41454962.8517425,171298164.86978,4331071.59060782,58939829.1784432,112358335.691337,28405607.2276214,38696641.7578557,454595544.623358,0.0429799512353456,9924074.34785095,18166844.0688686,19283590.6628262,1116746.59395753,493292186.381215,14536676.067128,251014251.929081,0,0,43991327.8069867,171298164.86978,72184526.5101303,174199534.578822,28405607.2276214,142579578.292662,99698356.1594723,0,493292186.381215,106106600.909612,493292186.381215,-242277934.452134,0,4966527.70258285
