"IFRS17_group_NB_RI","CSM_LCpergroup","CoverageUnits","CurrRA","CurrInitExp","FutRIPrems","FutRIClaims","CSM_LRecC_released","Interest_Accreted_NB","Interest_accBEL","Interest_accRA_NB_RI","PVFCurrPrems","CurrClaims","PVClaims","PVFinre","RA","BEL","TotPVClaims","PVRiskRIPrems","PVPremiums","TotFinReIncome","TotFinReRepayment"
"2024_NB_Non-onerous_202",-608244.33114135,0.0375414529121512,2406.00019042503,0,0,570815.5420958,-22834.3759166259,-46726.9671525588,-46726.9671525588,2803.61802915353,0,40100.0031737506,608244.33114135,NA,36494.659868481,-608244.33114135,608244.33114135,NA,0,NA,4438008.76633769
"2024_NB_Onerous_202",-6457623.70344299,0.035896948245185,29375.1931763754,0,0,6000628.72590659,-231808.983869373,-496092.03937528,-496092.03937528,29765.5223625168,0,489586.552939589,6457623.70344299,NA,387457.422206579,-6457623.70344299,6457623.70344299,NA,0,NA,53893976.6187121
"2024_NB_Remaining_202",-3172586.80322646,0.036157281000142,13177.6607981925,0,0,2967586.58794896,-114712.112541601,-243726.660082186,-243726.660082186,14623.5996049312,0,219627.679969875,3172586.80322646,NA,190355.208193588,-3172586.80322646,3172586.80322646,NA,0,NA,25039949.4473342
"Total",-10238454.8378108,0.0365318940524927,44958.8541649929,0,0,9539030.85595135,-369355.4723276,-786545.666610025,-786545.666610025,47192.7399966015,0,749314.236083215,10238454.8378108,NA,614307.290268648,-10238454.8378108,10238454.8378108,NA,0,NA,83371934.832384
