"Month","Total_Premiums","Total_Recoveries","Total_FinReIncomeCF","Total_FinReRepayment","Total_RiskReinsuranceRecoveries","Total_RiskReinsurancePremiums"
1,0,274949.981584145,0,1961551.48671301,274949.981584145,-1961551.48671301
2,0,271799.645721105,0,1966720.47129699,271799.645721105,-1966720.47129699
3,0,270632.734978205,0,1983658.10385675,270632.734978205,-1983658.10385675
4,0,268240.103203589,0,2004294.28966943,268240.103203589,-2004294.28966943
5,0,265979.938297733,0,2028100.51966135,265979.938297733,-2028100.51966135
6,0,263849.252889543,0,2067686.49682634,263849.252889543,-2067686.49682634
7,0,262020.392511442,0,2095397.24010841,262020.392511442,-2095397.24010841
8,0,259764.062499539,0,2103687.96479748,259764.062499539,-2103687.96479748
9,0,257173.666614078,0,2126693.51587775,257173.666614078,-2126693.51587775
10,0,255268.128607257,0,2152826.23829686,255268.128607257,-2152826.23829686
11,0,253518.059830325,0,2198943.9378049,253518.059830325,-2198943.9378049
12,0,251687.055281667,0,2235273.70341896,251687.055281667,-2235273.70341896
13,0,249924.455757213,0,2280297.32570378,249924.455757213,-2280297.32570378
14,0,247835.575172498,0,2314964.03553857,247835.575172498,-2314964.03553857
15,0,247784.044583088,0,2357050.95342027,247784.044583088,-2357050.95342027
16,0,246345.713792,0,2410818.46309222,246345.713792,-2410818.46309222
17,0,245000.106729168,0,2459772.51555873,245000.106729168,-2459772.51555873
18,0,243757.933467576,0,2506368.45910725,243757.933467576,-2506368.45910725
19,0,242798.689660268,0,2551968.89263412,242798.689660268,-2551968.89263412
20,0,241393.965932939,0,2578868.12309722,241393.965932939,-2578868.12309722
21,0,239568.219348405,0,2606085.33457126,239568.219348405,-2606085.33457126
22,0,238422.953937707,0,2659871.97987616,238422.953937707,-2659871.97987616
23,0,237443.831710413,0,2687756.04908695,237443.831710413,-2687756.04908695
24,0,236362.471714314,0,2707251.14204127,236362.471714314,-2707251.14204127
25,0,235405.988005862,0,2701624.49177001,235405.988005862,-2701624.49177001
26,0,234040.338046837,0,2693384.46832098,234040.338046837,-2693384.46832098
27,0,230949.454631295,0,2686027.43276284,230949.454631295,-2686027.43276284
28,0,230343.474884316,0,2681933.9666253,230343.474884316,-2681933.9666253
29,0,229825.174400186,0,2675357.94829738,229825.174400186,-2675357.94829738
30,0,229395.746651504,0,2673797.1862941,229395.746651504,-2673797.1862941
31,0,229307.45257473,0,2670183.8474237,229307.45257473,-2670183.8474237
32,0,228466.198007461,0,2658735.97074137,228466.198007461,-2658735.97074137
33,0,227404.153334256,0,2650721.7638107,227404.153334256,-2650721.7638107
34,0,227018.281339331,0,2648001.49360159,227018.281339331,-2648001.49360159
35,0,226768.666119889,0,2647375.16120839,226768.666119889,-2647375.16120839
36,0,226357.273811129,0,2643834.35397521,226357.273811129,-2643834.35397521
37,0,226040.573611185,0,2638415.06055761,226040.573611185,-2638415.06055761
38,0,225272.231589354,0,2631620.91431171,225272.231589354,-2631620.91431171
39,0,226031.180942457,0,2627714.34082779,226031.180942457,-2627714.34082779
40,0,225944.862185252,0,2622673.59650746,225944.862185252,-2622673.59650746
41,0,225920.573854146,0,2618813.37694216,225920.573854146,-2618813.37694216
42,0,225005.508472034,0,2616342.53541965,225005.508472034,-2616342.53541965
43,0,225318.715344017,0,2611833.15546484,225318.715344017,-2611833.15546484
44,0,222414.17452099,0,2600031.01934375,222414.17452099,-2600031.01934375
45,0,221698.27921619,0,2591087.35360784,221698.27921619,-2591087.35360784
46,0,221248.253349642,0,2586624.85187157,221248.253349642,-2586624.85187157
47,0,220669.580052247,0,2584198.80342781,220669.580052247,-2584198.80342781
48,0,219568.926611233,0,2578509.71684752,219568.926611233,-2578509.71684752
49,0,219488.234904931,0,2574474.96845671,219488.234904931,-2574474.96845671
50,0,218754.69401112,0,2567638.01352295,218754.69401112,-2567638.01352295
51,0,219799.438545481,0,2564228.18640356,219799.438545481,-2564228.18640356
