"IFRS17_group_NB_RI","CSM_LCpergroup","CoverageUnits","CurrRA","CurrInitExp","FutRIPrems","FutRIClaims","CSM_LRecC_released","Interest_Accreted_NB","Interest_accBEL","Interest_accRA_NB_RI","PVFCurrPrems","CurrClaims","PVClaims","PVFinre","RA","BEL","TotPVClaims","PVRiskRIPrems","PVPremiums","TotFinReIncome","TotFinReRepayment"
"2024_NB_Non-onerous_202",0,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,0,NA,0
"2024_NB_Onerous_202",0,0.0384846598595759,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,NA,1265151.42066796
"2024_NB_Remaining_202",0,0.0334473302668783,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,NA,70063.5691114505
"2025_NB_Non-onerous_202",-653697.182278752,0.0373209388020974,2609.61694798482,0,0,613078.485505409,-24396.5925349288,-50218.7775539844,-50218.7775539844,3013.12665323906,0,43493.615799747,653697.182278752,NA,39221.8309367251,-653697.182278752,653697.182278752,NA,0,NA,5005668.74914983
"2025_NB_Onerous_202",-6934285.96037493,0.0358408671876197,31905.7367996301,0,0,6437653.32313711,-248530.822146774,-532710.517316092,-532710.517316092,31962.6310389655,0,531762.279993835,6934285.96037493,NA,416057.157622495,-6934285.96037493,6934285.96037493,NA,0,NA,60895679.7589161
"2025_NB_Remaining_202",-3431835.0772803,0.0360664840532981,14327.1663798848,0,0,3208827.75392624,-123774.225088279,-263642.81049388,-263642.81049388,15818.5686296328,0,238786.106331413,3431835.0772803,NA,205910.104636818,-3431835.0772803,3431835.0772803,NA,0,NA,28339257.8393843
"Total",-11019818.219934,NA,48842.5201274997,0,0,10259559.5625688,NA,-846572.105363956,-846572.105363956,50794.3263218374,0,814042.002124995,11019818.219934,NA,661189.093196038,-11019818.219934,11019818.219934,NA,0,NA,95575821.3372296
